,Unnamed: 0,Slide ID,Options,Correct ID,pos_array,pos_delta
27,27,HIND4860165,"I don't have any skirts, but I have much dresses.",3,"[""('I', 'PRP')"", ""('do', 'VBP')"", '(""n\'t"", \'RB\')', ""('have', 'VB')"", ""('any', 'DT')"", ""('skirts', 'NNS')"", ""(',', ',')"", ""('but', 'CC')"", ""('I', 'PRP')"", ""('have', 'VBP')"", ""('much', 'JJ')"", ""('dresses', 'NNS')"", ""('.', '.')""]","[""('much', 'JJ')""]"
28,28,HIND4871073,She is a student.,1,"[""('She', 'PRP')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('student', 'NN')"", ""('.', '.')""]",[]
29,29,HIND4871073,She is an student.,1,"[""('She', 'PRP')"", ""('is', 'VBZ')"", ""('an', 'DT')"", ""('student', 'NN')"", ""('.', '.')""]","[""('an', 'DT')""]"
30,30,HIND4871073,She is the student.,1,"[""('She', 'PRP')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('student', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
31,31,HIND4871073, ,1,[],[]
32,32,HIND4878167,He is an principal of my school.,2,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('an', 'DT')"", ""('principal', 'NN')"", ""('of', 'IN')"", ""('my', 'PRP$')"", ""('school', 'NN')"", ""('.', '.')""]","[""('an', 'DT')""]"
33,33,HIND4878167,He is the principal of my school.,2,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('principal', 'NN')"", ""('of', 'IN')"", ""('my', 'PRP$')"", ""('school', 'NN')"", ""('.', '.')""]",[]
34,34,HIND4878167,He is a principal of my school.,2,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('principal', 'NN')"", ""('of', 'IN')"", ""('my', 'PRP$')"", ""('school', 'NN')"", ""('.', '.')""]","[""('a', 'DT')""]"
35,35,HIND4878167, ,2,[],[]
36,36,HIND4879395,He is a peon.,1,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('peon', 'NN')"", ""('.', '.')""]",[]
37,37,HIND4879395,He is an peon.,1,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('an', 'DT')"", ""('peon', 'NN')"", ""('.', '.')""]","[""('an', 'DT')""]"
38,38,HIND4879395,He is the peon.,1,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('peon', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
39,39,HIND4879395, ,1,[],[]
40,40,HIND4880610,Ram wants an bicycle.,2,"[""('Ram', 'NNP')"", ""('wants', 'VBZ')"", ""('an', 'DT')"", ""('bicycle', 'NN')"", ""('.', '.')""]","[""('an', 'DT')""]"
41,41,HIND4880610,Ram wants a bicycle.,2,"[""('Ram', 'NNP')"", ""('wants', 'VBZ')"", ""('a', 'DT')"", ""('bicycle', 'NN')"", ""('.', '.')""]",[]
42,42,HIND4880610,Ram wants the bicycle.,2,"[""('Ram', 'NNP')"", ""('wants', 'VBZ')"", ""('the', 'DT')"", ""('bicycle', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
43,43,HIND4880610, ,2,[],[]
44,44,HIND4882072,I have a car. The car is black.,1,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('a', 'DT')"", ""('car', 'NN')"", ""('.', '.')"", ""('The', 'DT')"", ""('car', 'NN')"", ""('is', 'VBZ')"", ""('black', 'JJ')"", ""('.', '.')""]",[]
45,45,HIND4882072,I have a car. A car is black.,1,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('a', 'DT')"", ""('car', 'NN')"", ""('.', '.')"", ""('A', 'DT')"", ""('car', 'NN')"", ""('is', 'VBZ')"", ""('black', 'JJ')"", ""('.', '.')""]","[""('A', 'DT')""]"
46,46,HIND4882072,I have a car. An car is black.,1,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('a', 'DT')"", ""('car', 'NN')"", ""('.', '.')"", ""('An', 'DT')"", ""('car', 'NN')"", ""('is', 'VBZ')"", ""('black', 'JJ')"", ""('.', '.')""]","[""('An', 'DT')""]"
47,47,HIND4882072, ,1,[],[]
48,48,HIND4883531,He is the great speaker.,2,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('great', 'JJ')"", ""('speaker', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
49,49,HIND4883531,He is a great speaker.,2,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('great', 'JJ')"", ""('speaker', 'NN')"", ""('.', '.')""]",[]
50,50,HIND4883531,He is an great speaker.,2,"[""('He', 'PRP')"", ""('is', 'VBZ')"", ""('an', 'DT')"", ""('great', 'JJ')"", ""('speaker', 'NN')"", ""('.', '.')""]","[""('an', 'DT')""]"
51,51,HIND4883531, ,2,[],[]
52,52,HIND4884750,Nobody lives on a moon.,3,"[""('Nobody', 'NN')"", ""('lives', 'VBZ')"", ""('on', 'IN')"", ""('a', 'DT')"", ""('moon', 'NN')"", ""('.', '.')""]","[""('a', 'DT')""]"
53,53,HIND4884750,Nobody lives on an moon.,3,"[""('Nobody', 'NN')"", ""('lives', 'VBZ')"", ""('on', 'IN')"", ""('an', 'DT')"", ""('moon', 'NN')"", ""('.', '.')""]","[""('an', 'DT')""]"
54,54,HIND4884750,Nobody lives on the moon.,3,"[""('Nobody', 'NN')"", ""('lives', 'VBZ')"", ""('on', 'IN')"", ""('the', 'DT')"", ""('moon', 'NN')"", ""('.', '.')""]",[]
55,55,HIND4884750, ,3,[],[]
56,56,HIND4885962,This is an excellent book.,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('an', 'DT')"", ""('excellent', 'JJ')"", ""('book', 'NN')"", ""('.', '.')""]",[]
57,57,HIND4885962,This is a excellent book.,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('excellent', 'JJ')"", ""('book', 'NN')"", ""('.', '.')""]","[""('a', 'DT')""]"
58,58,HIND4885962,This is the excellent book.,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('excellent', 'JJ')"", ""('book', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
59,59,HIND4885962, ,1,[],[]
60,60,HIND4887179,A weather in Delhi is very nice.,3,"[""('A', 'DT')"", ""('weather', 'NN')"", ""('in', 'IN')"", ""('Delhi', 'NNP')"", ""('is', 'VBZ')"", ""('very', 'RB')"", ""('nice', 'JJ')"", ""('.', '.')""]","[""('A', 'DT')""]"
61,61,HIND4887179,An weather in Delhi is very nice.,3,"[""('An', 'DT')"", ""('weather', 'NN')"", ""('in', 'IN')"", ""('Delhi', 'NNP')"", ""('is', 'VBZ')"", ""('very', 'RB')"", ""('nice', 'JJ')"", ""('.', '.')""]","[""('An', 'DT')""]"
62,62,HIND4887179,The weather in Delhi is very nice.,3,"[""('The', 'DT')"", ""('weather', 'NN')"", ""('in', 'IN')"", ""('Delhi', 'NNP')"", ""('is', 'VBZ')"", ""('very', 'RB')"", ""('nice', 'JJ')"", ""('.', '.')""]",[]
63,63,HIND4887179, ,3,[],[]
64,64,HIND4888392,I love to visit the Taj Mahal.,1,"[""('I', 'PRP')"", ""('love', 'VBP')"", ""('to', 'TO')"", ""('visit', 'VB')"", ""('the', 'DT')"", ""('Taj', 'NNP')"", ""('Mahal', 'NNP')"", ""('.', '.')""]",[]
65,65,HIND4888392,I love to visit a Taj Mahal.,1,"[""('I', 'PRP')"", ""('love', 'VBP')"", ""('to', 'TO')"", ""('visit', 'VB')"", ""('a', 'DT')"", ""('Taj', 'NNP')"", ""('Mahal', 'NNP')"", ""('.', '.')""]","[""('a', 'DT')""]"
66,66,HIND4888392,I love to visit an Taj Mahal.,1,"[""('I', 'PRP')"", ""('love', 'VBP')"", ""('to', 'TO')"", ""('visit', 'VB')"", ""('an', 'DT')"", ""('Taj', 'NNP')"", ""('Mahal', 'NNP')"", ""('.', '.')""]","[""('an', 'DT')""]"
67,67,HIND4888392, ,1,[],[]
68,68,HIND4889609,The Statue of Liberty is one of the seven wonders in the world.,1,"[""('The', 'DT')"", ""('Statue', 'NNP')"", ""('of', 'IN')"", ""('Liberty', 'NNP')"", ""('is', 'VBZ')"", ""('one', 'CD')"", ""('of', 'IN')"", ""('the', 'DT')"", ""('seven', 'CD')"", ""('wonders', 'NNS')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('world', 'NN')"", ""('.', '.')""]",[]
69,69,HIND4889609,A Statue of Liberty is one of the seven wonders in the world.,1,"[""('A', 'DT')"", ""('Statue', 'NNP')"", ""('of', 'IN')"", ""('Liberty', 'NNP')"", ""('is', 'VBZ')"", ""('one', 'CD')"", ""('of', 'IN')"", ""('the', 'DT')"", ""('seven', 'CD')"", ""('wonders', 'NNS')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('world', 'NN')"", ""('.', '.')""]","[""('A', 'DT')""]"
70,70,HIND4889609,An Statue of Liberty is one of the seven wonders in the world.,1,"[""('An', 'DT')"", ""('Statue', 'NNP')"", ""('of', 'IN')"", ""('Liberty', 'NNP')"", ""('is', 'VBZ')"", ""('one', 'CD')"", ""('of', 'IN')"", ""('the', 'DT')"", ""('seven', 'CD')"", ""('wonders', 'NNS')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('world', 'NN')"", ""('.', '.')""]","[""('An', 'DT')""]"
71,71,HIND4889609, ,1,[],[]
72,72,HIND4890824,I am a engineer.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('engineer', 'NN')"", ""('.', '.')""]","[""('a', 'DT')""]"
73,73,HIND4890824,I am an engineer.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('an', 'DT')"", ""('engineer', 'NN')"", ""('.', '.')""]",[]
74,74,HIND4890824,I am the engineer.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('the', 'DT')"", ""('engineer', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
75,75,HIND4890824, ,2,[],[]
76,76,HIND4897145,I take the train to work.,1,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('.', '.')""]",[]
77,77,HIND4897145,I am take the train to work.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('take', 'VB')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('.', '.')""]","[""('am', 'VBP')"", ""('take', 'VB')""]"
78,78,HIND4897145,I takes the train to work.,1,"[""('I', 'PRP')"", ""('takes', 'VBZ')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('.', '.')""]","[""('takes', 'VBZ')""]"
79,79,HIND4897145,I have take the train to work.,1,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('take', 'VB')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('.', '.')""]","[""('have', 'VBP')"", ""('take', 'VB')""]"
80,80,HIND4898481,I take the train work.,2,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('work', 'NN')"", ""('.', '.')""]","[""('work', 'NN')""]"
81,81,HIND4898481,I take the train to work.,2,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('.', '.')""]",[]
82,82,HIND4898481,I take the train on work.,2,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('on', 'IN')"", ""('work', 'NN')"", ""('.', '.')""]","[""('work', 'NN')"", ""('on', 'IN')""]"
83,83,HIND4898481,I take the train to the work.,2,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('train', 'NN')"", ""('to', 'TO')"", ""('the', 'DT')"", ""('work', 'NN')"", ""('.', '.')""]","[""('work', 'NN')""]"
84,84,HIND4899808,I work at a school. I am a doctor.,2,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('school', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('doctor', 'NN')"", ""('.', '.')""]","[""('doctor', 'NN')""]"
85,85,HIND4899808,I work at a school. I am a teacher.,2,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('school', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('teacher', 'NN')"", ""('.', '.')""]",[]
86,86,HIND4899808,I work at a school. I am teacher.,2,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('school', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('teacher', 'RB')"", ""('.', '.')""]","[""('teacher', 'RB')""]"
87,87,HIND4899808,I work at a school. I am a dentist.,2,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('school', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('dentist', 'NN')"", ""('.', '.')""]","[""('dentist', 'NN')""]"
88,88,HIND4901032,I am a waiter. I work at a school.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('waiter', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('school', 'NN')"", ""('.', '.')""]","[""('school', 'NN')""]"
89,89,HIND4901032,I am a waiter. I work at a restaurant.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('waiter', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('restaurant', 'NN')"", ""('.', '.')""]",[]
90,90,HIND4901032,I am a waiter. I work at a hospital.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('waiter', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('hospital', 'NN')"", ""('.', '.')""]","[""('hospital', 'NN')""]"
91,91,HIND4901032,I am a waiter. I work at a bank.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('waiter', 'NN')"", ""('.', '.')"", ""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('bank', 'NN')"", ""('.', '.')""]","[""('bank', 'NN')""]"
92,92,HIND4902299,I take the metro to work.,1,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('metro', 'NN')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('.', '.')""]",[]
93,93,HIND4902299,I take the metro to working.,1,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('metro', 'NN')"", ""('to', 'TO')"", ""('working', 'VBG')"", ""('.', '.')""]","[""('working', 'VBG')""]"
94,94,HIND4902299,I take the metro on work.,1,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('metro', 'NN')"", ""('on', 'IN')"", ""('work', 'NN')"", ""('.', '.')""]","[""('work', 'NN')"", ""('on', 'IN')""]"
95,95,HIND4902299,I take the metro to the work.,1,"[""('I', 'PRP')"", ""('take', 'VBP')"", ""('the', 'DT')"", ""('metro', 'NN')"", ""('to', 'TO')"", ""('the', 'DT')"", ""('work', 'NN')"", ""('.', '.')""]","[""('work', 'NN')""]"
96,96,HIND4906108,I goes to work at 7 AM.,2,"[""('I', 'PRP')"", ""('goes', 'VBZ')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('at', 'IN')"", ""('7', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]","[""('goes', 'VBZ')""]"
97,97,HIND4906108,I go to work at 7 AM.,2,"[""('I', 'PRP')"", ""('go', 'VBP')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('at', 'IN')"", ""('7', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]",[]
98,98,HIND4906108,I am go to work at 7 AM.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('go', 'VB')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('at', 'IN')"", ""('7', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]","[""('go', 'VB')"", ""('am', 'VBP')""]"
99,99,HIND4906108,I going to work at 7 AM.,2,"[""('I', 'PRP')"", ""('going', 'VBG')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('at', 'IN')"", ""('7', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]","[""('going', 'VBG')""]"
100,100,HIND4908777,Neha go to work at 9 AM.,2,"[""('Neha', 'NNP')"", ""('go', 'VBP')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('at', 'IN')"", ""('9', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]","[""('go', 'VBP')"", ""('Neha', 'NNP')""]"
101,101,HIND4908777,Neha goes to work at 9 AM.,2,"[""('Neha', 'NN')"", ""('goes', 'VBZ')"", ""('to', 'TO')"", ""('work', 'VB')"", ""('at', 'IN')"", ""('9', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]",[]
102,102,HIND4908777,Neha goes work at 9 AM.,2,"[""('Neha', 'NNP')"", ""('goes', 'VBZ')"", ""('work', 'NN')"", ""('at', 'IN')"", ""('9', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]","[""('work', 'NN')"", ""('Neha', 'NNP')""]"
103,103,HIND4908777,Neha goes to the work at 9 AM.,2,"[""('Neha', 'NN')"", ""('goes', 'VBZ')"", ""('to', 'TO')"", ""('the', 'DT')"", ""('work', 'NN')"", ""('at', 'IN')"", ""('9', 'CD')"", ""('AM', 'NNP')"", ""('.', '.')""]","[""('work', 'NN')"", ""('the', 'DT')""]"
104,104,HIND4910095,My mother is housewife.,2,"[""('My', 'PRP$')"", ""('mother', 'NN')"", ""('is', 'VBZ')"", ""('housewife', 'VBN')"", ""('.', '.')""]","[""('housewife', 'VBN')""]"
105,105,HIND4910095,My mother is a housewife.,2,"[""('My', 'PRP$')"", ""('mother', 'NN')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('housewife', 'NN')"", ""('.', '.')""]",[]
106,106,HIND4910095,My mother is the housewife.,2,"[""('My', 'PRP$')"", ""('mother', 'NN')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('housewife', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
107,107,HIND4910095, ,2,[],[]
108,108,HIND4919016,I likes my job.,2,"[""('I', 'PRP')"", ""('likes', 'VBP')"", ""('my', 'PRP$')"", ""('job', 'NN')"", ""('.', '.')""]","[""('likes', 'VBP')""]"
109,109,HIND4919016,I like my job.,2,"[""('I', 'PRP')"", ""('like', 'VBP')"", ""('my', 'PRP$')"", ""('job', 'NN')"", ""('.', '.')""]",[]
110,110,HIND4919016,I am like my job.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('like', 'IN')"", ""('my', 'PRP$')"", ""('job', 'NN')"", ""('.', '.')""]","[""('like', 'IN')"", ""('am', 'VBP')""]"
111,111,HIND4919016,I liking my job.,2,"[""('I', 'PRP')"", ""('liking', 'VBG')"", ""('my', 'PRP$')"", ""('job', 'NN')"", ""('.', '.')""]","[""('liking', 'VBG')""]"
112,112,HIND4929630,Ankit not works at State Bank of India.,2,"[""('Ankit', 'NNP')"", ""('not', 'RB')"", ""('works', 'VBZ')"", ""('at', 'IN')"", ""('State', 'NNP')"", ""('Bank', 'NNP')"", ""('of', 'IN')"", ""('India', 'NNP')"", ""('.', '.')""]","[""('works', 'VBZ')"", ""('not', 'RB')""]"
113,113,HIND4929630,Ankit doesn't work at State Bank of India.,2,"[""('Ankit', 'NNP')"", ""('does', 'VBZ')"", '(""n\'t"", \'RB\')', ""('work', 'VB')"", ""('at', 'IN')"", ""('State', 'NNP')"", ""('Bank', 'NNP')"", ""('of', 'IN')"", ""('India', 'NNP')"", ""('.', '.')""]",[]
114,114,HIND4929630,Ankit doesn't works at State Bank of India.,2,"[""('Ankit', 'NNP')"", ""('does', 'VBZ')"", '(""n\'t"", \'RB\')', ""('works', 'VB')"", ""('at', 'IN')"", ""('State', 'NNP')"", ""('Bank', 'NNP')"", ""('of', 'IN')"", ""('India', 'NNP')"", ""('.', '.')""]","[""('works', 'VB')""]"
115,115,HIND4929630,Ankit is not work at State Bank of India.,2,"[""('Ankit', 'NNP')"", ""('is', 'VBZ')"", ""('not', 'RB')"", ""('work', 'NN')"", ""('at', 'IN')"", ""('State', 'NNP')"", ""('Bank', 'NNP')"", ""('of', 'IN')"", ""('India', 'NNP')"", ""('.', '.')""]","[""('work', 'NN')"", ""('is', 'VBZ')"", ""('not', 'RB')""]"
