Slide ID,Options,Correct ID,pos_array
HIND6462367,Mohan is going to three in June.,2,"[('Mohan', 'NNP'), ('is', 'VBZ'), ('going', 'VBG'), ('to', 'TO'), ('three', 'CD'), ('in', 'IN'), ('June', 'NNP'), ('.', '.')]"
HIND7137001,I prefer relaxed on weekends.,3,"[('I', 'PRP'), ('prefer', 'VBP'), ('relaxed', 'VBN'), ('on', 'IN'), ('weekends', 'NNS'), ('.', '.')]"
HIND7137001,I prefer relax on weekends.,3,"[('I', 'PRP'), ('prefer', 'VBP'), ('relax', 'VB'), ('on', 'IN'), ('weekends', 'NNS'), ('.', '.')]"
HIND7137001,I prefer relaxing on weekends.,3,"[('I', 'PRP'), ('prefer', 'VBP'), ('relaxing', 'VBG'), ('on', 'IN'), ('weekends', 'NNS'), ('.', '.')]"
HIND7137001,I prefer to relaxed on weekends.,3,"[('I', 'PRP'), ('prefer', 'VBP'), ('to', 'TO'), ('relaxed', 'VB'), ('on', 'IN'), ('weekends', 'NNS'), ('.', '.')]"
HIND4554774,Are there a supermarket in this neighborhood.,2,"[('Are', 'NNP'), ('there', 'EX'), ('a', 'DT'), ('supermarket', 'NN'), ('in', 'IN'), ('this', 'DT'), ('neighborhood', 'NN'), ('.', '.')]"
HIND4554774,There isn't a supermarket in this neighborhood.,2,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('a', 'DT'), ('supermarket', 'NN'), ('in', 'IN'), ('this', 'DT'), ('neighborhood', 'NN'), ('.', '.')]"
HIND4554774,Is there a supermarket in this neighborhood.,2,"[('Is', 'VBZ'), ('there', 'EX'), ('a', 'DT'), ('supermarket', 'NN'), ('in', 'IN'), ('this', 'DT'), ('neighborhood', 'NN'), ('.', '.')]"
HIND4554774,,2,[]
HIND3453742,<default-male-name2> and I is good chess players.,3,"[('John', 'NNP'), ('and', 'CC'), ('I', 'PRP'), ('is', 'VBZ'), ('good', 'JJ'), ('chess', 'NN'), ('players', 'NNS'), ('.', '.')]"
HIND3453742,<default-male-name2> and I am good chess players.,3,"[('John', 'NNP'), ('and', 'CC'), ('I', 'PRP'), ('am', 'VBP'), ('good', 'JJ'), ('chess', 'NN'), ('players', 'NNS'), ('.', '.')]"
HIND3453742,<default-male-name2> and I are good chess players.,3,"[('John', 'NNP'), ('and', 'CC'), ('I', 'PRP'), ('are', 'VBP'), ('good', 'JJ'), ('chess', 'NN'), ('players', 'NNS'), ('.', '.')]"
HIND3453742,,3,[]
HIND4446526,New York has busy streets.,1,"[('New', 'NNP'), ('York', 'NNP'), ('has', 'VBZ'), ('busy', 'JJ'), ('streets', 'NNS'), ('.', '.')]"
HIND4446526,New York has busy place.,1,"[('New', 'NNP'), ('York', 'NNP'), ('has', 'VBZ'), ('busy', 'JJ'), ('place', 'NN'), ('.', '.')]"
HIND4446526,New York has busy city.,1,"[('New', 'NNP'), ('York', 'NNP'), ('has', 'VBZ'), ('busy', 'JJ'), ('city', 'NN'), ('.', '.')]"
HIND4446526,New York has busy is street.,1,"[('New', 'NNP'), ('York', 'NNP'), ('has', 'VBZ'), ('busy', 'JJ'), ('is', 'VBZ'), ('street', 'NN'), ('.', '.')]"
HIND3578403,Your friend speak Japanese.,3,"[('Your', 'PRP$'), ('friend', 'NN'), ('speak', 'JJ'), ('Japanese', 'JJ'), ('.', '.')]"
HIND3578403,Your friend speaking Japanese.,3,"[('Your', 'PRP$'), ('friend', 'NN'), ('speaking', 'VBG'), ('Japanese', 'JJ'), ('.', '.')]"
HIND3578403,Your friend speaks Japanese.,3,"[('Your', 'PRP$'), ('friend', 'NN'), ('speaks', 'VBZ'), ('Japanese', 'JJ'), ('.', '.')]"
HIND3578403,,3,[]
HIND3588242,Does your sisters speak English?,2,"[('Does', 'VBZ'), ('your', 'PRP$'), ('sisters', 'NNS'), ('speak', 'VBP'), ('English', 'NNP'), ('?', '.')]"
HIND3588242,Do your sisters speak English?,2,"[('Do', 'VB'), ('your', 'PRP$'), ('sisters', 'NNS'), ('speak', 'VBP'), ('English', 'NNP'), ('?', '.')]"
HIND3588242,Are your sisters speak English?,2,"[('Are', 'NNP'), ('your', 'PRP$'), ('sisters', 'NNS'), ('speak', 'VBP'), ('English', 'NNP'), ('?', '.')]"
HIND3588242,,2,[]
HIND4703799,Can I try this skirt on?,1,"[('Can', 'MD'), ('I', 'PRP'), ('try', 'VB'), ('this', 'DT'), ('skirt', 'NN'), ('on', 'IN'), ('?', '.')]"
HIND4703799,Can I try these skirt on?,1,"[('Can', 'MD'), ('I', 'PRP'), ('try', 'VB'), ('these', 'DT'), ('skirt', 'NN'), ('on', 'IN'), ('?', '.')]"
HIND4703799,Can I try those skirt on?,1,"[('Can', 'MD'), ('I', 'PRP'), ('try', 'VB'), ('those', 'DT'), ('skirt', 'NNS'), ('on', 'IN'), ('?', '.')]"
HIND4703799,,1,[]
HIND6557857,We will go out for breakfast.,1,"[('We', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('out', 'RP'), ('for', 'IN'), ('breakfast', 'NN'), ('.', '.')]"
HIND6557857,We will have out for breakfast.,1,"[('We', 'PRP'), ('will', 'MD'), ('have', 'VB'), ('out', 'RP'), ('for', 'IN'), ('breakfast', 'NN'), ('.', '.')]"
HIND6557857,We will to have out for breakfast.,1,"[('We', 'PRP'), ('will', 'MD'), ('to', 'TO'), ('have', 'VB'), ('out', 'RP'), ('for', 'IN'), ('breakfast', 'NN'), ('.', '.')]"
HIND6557857,We will going out for breakfast.,1,"[('We', 'PRP'), ('will', 'MD'), ('going', 'VBG'), ('out', 'RP'), ('for', 'IN'), ('breakfast', 'NN'), ('.', '.')]"
HIND3938068,Does <default-female-name2> has a daughter?,2,"[('Does', 'NNP'), ('Sarah', 'NNP'), ('has', 'VBZ'), ('a', 'DT'), ('daughter', 'NN'), ('?', '.')]"
HIND3938068,Does <default-female-name2> have a daughter?,2,"[('Does', 'NNP'), ('Sarah', 'NNP'), ('have', 'VB'), ('a', 'DT'), ('daughter', 'NN'), ('?', '.')]"
HIND3938068,Does <default-female-name2> is has a daughter?,2,"[('Does', 'NNP'), ('Sarah', 'NNP'), ('is', 'VBZ'), ('has', 'VBZ'), ('a', 'DT'), ('daughter', 'NN'), ('?', '.')]"
HIND3938068,,2,[]
HIND3585812,Our brothers speak Japanese.,1,"[('Our', 'PRP$'), ('brothers', 'NNS'), ('speak', 'VBP'), ('Japanese', 'JJ'), ('.', '.')]"
HIND3585812,Our brothers speaking Japanese.,1,"[('Our', 'PRP$'), ('brothers', 'NNS'), ('speaking', 'VBG'), ('Japanese', 'JJ'), ('.', '.')]"
HIND3585812,Our brothers speaks Japanese.,1,"[('Our', 'PRP$'), ('brothers', 'NNS'), ('speaks', 'VBP'), ('Japanese', 'JJ'), ('.', '.')]"
HIND3585812,,1,[]
HIND6406308,Congrats on your promotion.,1,"[('Congrats', 'NNS'), ('on', 'IN'), ('your', 'PRP$'), ('promotion', 'NN'), ('.', '.')]"
HIND6406308,Congrats to your promotion.,1,"[('Congrats', 'NNS'), ('to', 'TO'), ('your', 'PRP$'), ('promotion', 'NN'), ('.', '.')]"
HIND6406308,Congrats from your promotion.,1,"[('Congrats', 'NNS'), ('from', 'IN'), ('your', 'PRP$'), ('promotion', 'NN'), ('.', '.')]"
HIND6406308,,1,[]
HIND4516499,<default-male-name2> sits next to me in the class.,1,"[('John', 'NNP'), ('sits', 'VBZ'), ('next', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('in', 'IN'), ('the', 'DT'), ('class', 'NN'), ('.', '.')]"
HIND4516499,<default-male-name2> sits behind to me in the class.,1,"[('John', 'NNP'), ('sits', 'VBZ'), ('behind', 'IN'), ('to', 'TO'), ('me', 'PRP'), ('in', 'IN'), ('the', 'DT'), ('class', 'NN'), ('.', '.')]"
HIND4516499,<default-male-name2> sits under to me in the class.,1,"[('John', 'NNP'), ('sits', 'VBZ'), ('under', 'IN'), ('to', 'TO'), ('me', 'PRP'), ('in', 'IN'), ('the', 'DT'), ('class', 'NN'), ('.', '.')]"
HIND4516499,<default-male-name2> sits in front of to me in the class.,1,"[('John', 'NNP'), ('sits', 'NNS'), ('in', 'IN'), ('front', 'NN'), ('of', 'IN'), ('to', 'TO'), ('me', 'PRP'), ('in', 'IN'), ('the', 'DT'), ('class', 'NN'), ('.', '.')]"
HIND6389014,I hope you feeling better soon.,3,"[('I', 'PRP'), ('hope', 'VBP'), ('you', 'PRP'), ('feeling', 'VBG'), ('better', 'JJR'), ('soon', 'RB'), ('.', '.')]"
HIND6389014,I hope you are feeling better soon.,3,"[('I', 'PRP'), ('hope', 'VBP'), ('you', 'PRP'), ('are', 'VBP'), ('feeling', 'VBG'), ('better', 'JJR'), ('soon', 'RB'), ('.', '.')]"
HIND6389014,I hope you feel better soon.,3,"[('I', 'PRP'), ('hope', 'VBP'), ('you', 'PRP'), ('feel', 'VBP'), ('better', 'RB'), ('soon', 'RB'), ('.', '.')]"
HIND6389014,I hope you will felt better soon.,3,"[('I', 'PRP'), ('hope', 'VBP'), ('you', 'PRP'), ('will', 'MD'), ('felt', 'VB'), ('better', 'RB'), ('soon', 'RB'), ('.', '.')]"
HIND6560526,Let's have for dinner together.,4,"[('Let', 'VB'), (""'s"", 'POS'), ('have', 'VB'), ('for', 'IN'), ('dinner', 'NN'), ('together', 'RB'), ('.', '.')]"
HIND6560526,Let's go dinner together.,4,"[('Let', 'VB'), (""'s"", 'POS'), ('go', 'VB'), ('dinner', 'NN'), ('together', 'RB'), ('.', '.')]"
HIND6560526,Let's gets dinner together.,4,"[('Let', 'VB'), (""'s"", 'POS'), ('gets', 'VBZ'), ('dinner', 'NN'), ('together', 'RB'), ('.', '.')]"
HIND6560526,Let's have dinner together.,4,"[('Let', 'VB'), (""'s"", 'POS'), ('have', 'VB'), ('dinner', 'NN'), ('together', 'RB'), ('.', '.')]"
HIND4827357,Do you want any biscuit?,2,"[('Do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('any', 'DT'), ('biscuit', 'NN'), ('?', '.')]"
HIND4827357,Do you want a biscuit?,2,"[('Do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('a', 'DT'), ('biscuit', 'NN'), ('?', '.')]"
HIND4827357,Do you want an biscuit?,2,"[('Do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('an', 'DT'), ('biscuit', 'NN'), ('?', '.')]"
HIND4827357,,2,[]
HIND4804739,Your childrens are very smart.,2,"[('Your', 'PRP$'), ('childrens', 'NNS'), ('are', 'VBP'), ('very', 'RB'), ('smart', 'JJ'), ('.', '.')]"
HIND4804739,Your children are very smart.,2,"[('Your', 'PRP$'), ('children', 'NNS'), ('are', 'VBP'), ('very', 'RB'), ('smart', 'JJ'), ('.', '.')]"
HIND4804739,Your children is very smart.,2,"[('Your', 'PRP$'), ('children', 'NNS'), ('is', 'VBZ'), ('very', 'RB'), ('smart', 'JJ'), ('.', '.')]"
HIND4804739,Your childs are very smart.,2,"[('Your', 'PRP$'), ('childs', 'NNS'), ('are', 'VBP'), ('very', 'RB'), ('smart', 'JJ'), ('.', '.')]"
HIND4260464,Where does <default-female-name> live?,1,"[('Where', 'WRB'), ('does', 'VBZ'), ('Sarah', 'NNP'), ('live', 'VB'), ('?', '.')]"
HIND4260464,Where does <default-female-name> lives?,1,"[('Where', 'WRB'), ('does', 'VBZ'), ('Sarah', 'NNP'), ('lives', 'NNS'), ('?', '.')]"
HIND4260464,Where does <default-female-name> living?,1,"[('Where', 'WRB'), ('does', 'VBZ'), ('Sarah', 'VB'), ('living', 'NN'), ('?', '.')]"
HIND4260464,,1,[]
HIND4831247,I want a kg of apples.,1,"[('I', 'PRP'), ('want', 'VBP'), ('a', 'DT'), ('kg', 'NN'), ('of', 'IN'), ('apples', 'NNS'), ('.', '.')]"
HIND4831247,I want an kg of apples.,1,"[('I', 'PRP'), ('want', 'VBP'), ('an', 'DT'), ('kg', 'NN'), ('of', 'IN'), ('apples', 'NNS'), ('.', '.')]"
HIND4831247,I want any kg of apples.,1,"[('I', 'PRP'), ('want', 'VBP'), ('any', 'DT'), ('kg', 'NN'), ('of', 'IN'), ('apples', 'NNS'), ('.', '.')]"
HIND4831247,,1,[]
HIND2910195,I am from France. I is French.,3,"[('I', 'PRP'), ('am', 'VBP'), ('from', 'IN'), ('France', 'NNP'), ('.', '.'), ('I', 'PRP'), ('is', 'VBZ'), ('French', 'JJ'), ('.', '.')]"
HIND2910195,I am from France. I am Francian.,3,"[('I', 'PRP'), ('am', 'VBP'), ('from', 'IN'), ('France', 'NNP'), ('.', '.'), ('I', 'PRP'), ('am', 'VBP'), ('Francian', 'JJ'), ('.', '.')]"
HIND2910195,I am from France. I am French.,3,"[('I', 'PRP'), ('am', 'VBP'), ('from', 'IN'), ('France', 'NNP'), ('.', '.'), ('I', 'PRP'), ('am', 'VBP'), ('French', 'JJ'), ('.', '.')]"
HIND2910195,I am from France. I French.,3,"[('I', 'PRP'), ('am', 'VBP'), ('from', 'IN'), ('France', 'NNP'), ('.', '.'), ('I', 'PRP'), ('French', 'JJ'), ('.', '.')]"
HIND4545338,Are there any teachers in the school?,1,"[('Are', 'NNP'), ('there', 'EX'), ('any', 'DT'), ('teachers', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('school', 'NN'), ('?', '.')]"
HIND4545338,Is there any teachers in the school?,1,"[('Is', 'VBZ'), ('there', 'EX'), ('any', 'DT'), ('teachers', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('school', 'NN'), ('?', '.')]"
HIND4545338,There is any teachers in the school?,1,"[('There', 'EX'), ('is', 'VBZ'), ('any', 'DT'), ('teachers', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('school', 'NN'), ('?', '.')]"
HIND4545338,,1,[]
HIND4294093,I work at <default-company-name>,1,"[('I', 'PRP'), ('work', 'VBP'), ('at', 'IN'), ('Microsoft', 'NNP')]"
HIND4294093,I work at a <default-company-name>,1,"[('I', 'PRP'), ('work', 'VBP'), ('at', 'IN'), ('a', 'DT'), ('Microsoft', 'NNP')]"
HIND4294093,I work from <default-company-name>,1,"[('I', 'PRP'), ('work', 'VBP'), ('from', 'IN'), ('Microsoft', 'NNP')]"
HIND4294093,I work on <default-company-name>,1,"[('I', 'PRP'), ('work', 'VBP'), ('on', 'IN'), ('Microsoft', 'NNP')]"
HIND4192355,<default-male-name2>''s bag is under the bed.,1,"[('John', 'NNP'), (""'s"", 'POS'), ('bag', 'NN'), ('is', 'VBZ'), ('under', 'IN'), ('the', 'DT'), ('bed', 'NN'), ('.', '.')]"
HIND4192355,<default-male-name2>''s bag is at the bed.,1,"[('John', 'NNP'), (""'s"", 'POS'), ('bag', 'NN'), ('is', 'VBZ'), ('at', 'IN'), ('the', 'DT'), ('bed', 'NN'), ('.', '.')]"
HIND4192355,<default-male-name2>''s bag is in the bed.,1,"[('John', 'NNP'), (""'s"", 'POS'), ('bag', 'NN'), ('is', 'VBZ'), ('in', 'IN'), ('the', 'DT'), ('bed', 'NN'), ('.', '.')]"
HIND4192355,,1,[]
HIND4541526,Are there the letter 'f' in the word photograph.,2,"[('Are', 'NNP'), ('there', 'EX'), ('the', 'DT'), ('letter', 'NN'), (""'f"", 'POS'), (""'"", ""''""), ('in', 'IN'), ('the', 'DT'), ('word', 'NN'), ('photograph', 'NN'), ('.', '.')]"
HIND4541526,There isn't the letter 'f' in the word photograph.,2,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('the', 'DT'), ('letter', 'NN'), (""'f"", 'POS'), (""'"", ""''""), ('in', 'IN'), ('the', 'DT'), ('word', 'NN'), ('photograph', 'NN'), ('.', '.')]"
HIND4541526,Are the letter 'f' in the word photograph.,2,"[('Are', 'VBP'), ('the', 'DT'), ('letter', 'NN'), (""'f"", 'POS'), (""'"", ""''""), ('in', 'IN'), ('the', 'DT'), ('word', 'NN'), ('photograph', 'NN'), ('.', '.')]"
HIND4541526,,2,[]
HIND3830855,<default-actor-name> <default-actor-surname> have black and white hair.,3,"[('Tom', 'NNP'), ('Cruise', 'NNP'), ('have', 'VBP'), ('black', 'JJ'), ('and', 'CC'), ('white', 'JJ'), ('hair', 'NN'), ('.', '.')]"
HIND3830855,<default-actor-name> <default-actor-surname> has a black and white hair.,3,"[('Tom', 'NNP'), ('Cruise', 'NNP'), ('has', 'VBZ'), ('a', 'DT'), ('black', 'JJ'), ('and', 'CC'), ('white', 'JJ'), ('hair', 'NN'), ('.', '.')]"
HIND3830855,<default-actor-name> <default-actor-surname> has black and white hair.,3,"[('Tom', 'NNP'), ('Cruise', 'NNP'), ('has', 'VBZ'), ('black', 'JJ'), ('and', 'CC'), ('white', 'JJ'), ('hair', 'NN'), ('.', '.')]"
HIND3830855,,3,[]
HIND3789254,Your father is a smart man.,1,"[('Your', 'PRP$'), ('father', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('smart', 'JJ'), ('man', 'NN'), ('.', '.')]"
HIND3789254,Your father is smart man.,1,"[('Your', 'PRP$'), ('father', 'NN'), ('is', 'VBZ'), ('smart', 'JJ'), ('man', 'NN'), ('.', '.')]"
HIND3789254,Your father is smarty man.,1,"[('Your', 'PRP$'), ('father', 'NN'), ('is', 'VBZ'), ('smarty', 'JJ'), ('man', 'NN'), ('.', '.')]"
HIND3789254,,1,[]
HIND4747658,How much is this pants for?,2,"[('How', 'WRB'), ('much', 'JJ'), ('is', 'VBZ'), ('this', 'DT'), ('pants', 'NNS'), ('for', 'IN'), ('?', '.')]"
HIND4747658,How much are these pants for?,2,"[('How', 'WRB'), ('much', 'JJ'), ('are', 'VBP'), ('these', 'DT'), ('pants', 'NNS'), ('for', 'IN'), ('?', '.')]"
HIND4747658,How much is these pants for?,2,"[('How', 'WRB'), ('much', 'JJ'), ('is', 'VBZ'), ('these', 'DT'), ('pants', 'NNS'), ('for', 'IN'), ('?', '.')]"
HIND4747658,How much are that pants for?,2,"[('How', 'WRB'), ('much', 'JJ'), ('are', 'VBP'), ('that', 'IN'), ('pants', 'NNS'), ('for', 'IN'), ('?', '.')]"
HIND4720844,How much bottles of water.,2,"[('How', 'WRB'), ('much', 'JJ'), ('bottles', 'NNS'), ('of', 'IN'), ('water', 'NN'), ('.', '.')]"
HIND4720844,How many bottles of water.,2,"[('How', 'WRB'), ('many', 'JJ'), ('bottles', 'NNS'), ('of', 'IN'), ('water', 'NN'), ('.', '.')]"
HIND4720844,How manies bottles of water.,2,"[('How', 'WRB'), ('manies', 'NNS'), ('bottles', 'NNS'), ('of', 'IN'), ('water', 'NN'), ('.', '.')]"
HIND4720844,,2,[]
HIND4059388,My red pants fit me well.,1,"[('My', 'PRP$'), ('red', 'JJ'), ('pants', 'NNS'), ('fit', 'VB'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND4059388,My red pant fit me well.,1,"[('My', 'PRP$'), ('red', 'JJ'), ('pant', 'JJ'), ('fit', 'NN'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND4059388,My red pants are fit me well.,1,"[('My', 'PRP$'), ('red', 'JJ'), ('pants', 'NNS'), ('are', 'VBP'), ('fit', 'JJ'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND4059388,,1,[]
HIND3945250,Do they have a cat?,1,"[('Do', 'VBP'), ('they', 'PRP'), ('have', 'VB'), ('a', 'DT'), ('cat', 'NN'), ('?', '.')]"
HIND3945250,Does they have a cat?,1,"[('Does', 'VBZ'), ('they', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('cat', 'NN'), ('?', '.')]"
HIND3945250,Are they have a cat?,1,"[('Are', 'VBP'), ('they', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('cat', 'NN'), ('?', '.')]"
HIND3945250,,1,[]
HIND4306038,<default-female-name2> and <default-female-name> work at a school.,1,"[('Sarah', 'NNP'), ('and', 'CC'), ('Sarah', 'NNP'), ('work', 'NN'), ('at', 'IN'), ('a', 'DT'), ('school', 'NN'), ('.', '.')]"
HIND4306038,<default-female-name> work at a school.,1,"[('Sarah', 'NNP'), ('work', 'NN'), ('at', 'IN'), ('a', 'DT'), ('school', 'NN'), ('.', '.')]"
HIND4306038,<default-female-name2> work at a school.,1,"[('Sarah', 'NNP'), ('work', 'NN'), ('at', 'IN'), ('a', 'DT'), ('school', 'NN'), ('.', '.')]"
HIND4306038,,1,[]
HIND3194056,I dances very well.,2,"[('I', 'PRP'), ('dances', 'VBP'), ('very', 'RB'), ('well', 'RB'), ('.', '.')]"
HIND3194056,I dance very well.,2,"[('I', 'PRP'), ('dance', 'VBP'), ('very', 'RB'), ('well', 'RB'), ('.', '.')]"
HIND3194056,I am dance very well.,2,"[('I', 'PRP'), ('am', 'VBP'), ('dance', 'JJ'), ('very', 'RB'), ('well', 'RB'), ('.', '.')]"
HIND3194056,I dancing very well.,2,"[('I', 'PRP'), ('dancing', 'VBG'), ('very', 'RB'), ('well', 'RB'), ('.', '.')]"
HIND3176368,They eats bread.,2,"[('They', 'PRP'), ('eats', 'VBP'), ('bread', 'VBP'), ('.', '.')]"
HIND3176368,They eat bread.,2,"[('They', 'PRP'), ('eat', 'VBP'), ('bread', 'JJ'), ('.', '.')]"
HIND3176368,They are eat bread.,2,"[('They', 'PRP'), ('are', 'VBP'), ('eat', 'JJ'), ('bread', 'NN'), ('.', '.')]"
HIND3176368,They does eat bread.,2,"[('They', 'PRP'), ('does', 'VBZ'), ('eat', 'VB'), ('bread', 'NN'), ('.', '.')]"
HIND4552926,Are there any windows in the room?,1,"[('Are', 'NNP'), ('there', 'EX'), ('any', 'DT'), ('windows', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('room', 'NN'), ('?', '.')]"
HIND4552926,There isn't any windows in the room?,1,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('any', 'DT'), ('windows', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('room', 'NN'), ('?', '.')]"
HIND4552926,Is there any windows in the room?,1,"[('Is', 'VBZ'), ('there', 'EX'), ('any', 'DT'), ('windows', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('room', 'NN'), ('?', '.')]"
HIND4552926,,1,[]
HIND3191070,He drinks water,1,"[('He', 'PRP'), ('drinks', 'VBZ'), ('water', 'NN')]"
HIND3191070,He drink water,1,"[('He', 'PRP'), ('drink', 'VBZ'), ('water', 'NN')]"
HIND3191070,He are drink water,1,"[('He', 'PRP'), ('are', 'VBP'), ('drink', 'JJ'), ('water', 'NN')]"
HIND3191070,He do drink water,1,"[('He', 'PRP'), ('do', 'VB'), ('drink', 'VB'), ('water', 'NN')]"
HIND4240582,She live next to the mall in <default-city-area>,2,"[('She', 'PRP'), ('live', 'VBP'), ('next', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('mall', 'NN'), ('in', 'IN'), ('Jaipur', 'NNP')]"
HIND4240582,They live next to the mall in <default-city-area>,2,"[('They', 'PRP'), ('live', 'VBP'), ('next', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('mall', 'NN'), ('in', 'IN'), ('Jaipur', 'NNP')]"
HIND4240582,He live next to the mall in <default-city-area>,2,"[('He', 'PRP'), ('live', 'VBP'), ('next', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('mall', 'NN'), ('in', 'IN'), ('Jaipur', 'NNP')]"
HIND4240582,,2,[]
HIND3944044,Do <default-male-name3> have a son?,2,"[('Do', 'NNP'), ('John', 'NNP'), ('have', 'VB'), ('a', 'DT'), ('son', 'NN'), ('?', '.')]"
HIND3944044,Does <default-male-name3> have a son?,2,"[('Does', 'NNP'), ('John', 'NNP'), ('have', 'VB'), ('a', 'DT'), ('son', 'NN'), ('?', '.')]"
HIND3944044,Is <default-male-name3> have a son?,2,"[('Is', 'VBZ'), ('John', 'NNP'), ('have', 'VBP'), ('a', 'DT'), ('son', 'NN'), ('?', '.')]"
HIND3944044,,2,[]
HIND4267090,Where do they live?,1,"[('Where', 'WRB'), ('do', 'VBP'), ('they', 'PRP'), ('live', 'VB'), ('?', '.')]"
HIND4267090,Where does they live?,1,"[('Where', 'WRB'), ('does', 'VBZ'), ('they', 'PRP'), ('live', 'VB'), ('?', '.')]"
HIND4267090,Where are they live?,1,"[('Where', 'WRB'), ('are', 'VBP'), ('they', 'PRP'), ('live', 'VBP'), ('?', '.')]"
HIND4267090,,1,[]
HIND4777212,There isn't many tea in the cup.,2,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('many', 'JJ'), ('tea', 'NN'), ('in', 'IN'), ('the', 'DT'), ('cup', 'NN'), ('.', '.')]"
HIND4777212,There isn't much tea in the cup.,2,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('much', 'JJ'), ('tea', 'NN'), ('in', 'IN'), ('the', 'DT'), ('cup', 'NN'), ('.', '.')]"
HIND4777212,There isn't a tea in the cup.,2,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('a', 'DT'), ('tea', 'NN'), ('in', 'IN'), ('the', 'DT'), ('cup', 'NN'), ('.', '.')]"
HIND4777212,,2,[]
