,Slide ID,Options,Correct ID,pos_array,pos_delta
11,HIND6462367,Mohan is going to three in June.,2,"[""('Mohan', 'NNP')"", ""('is', 'VBZ')"", ""('going', 'VBG')"", ""('to', 'TO')"", ""('three', 'CD')"", ""('in', 'IN')"", ""('June', 'NNP')"", ""('.', '.')""]",[]
12,HIND7137001,I prefer relaxed on weekends.,3,"[""('I', 'PRP')"", ""('prefer', 'VBP')"", ""('relaxed', 'VBN')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]","[""('relaxed', 'VBN')""]"
13,HIND7137001,I prefer relax on weekends.,3,"[""('I', 'PRP')"", ""('prefer', 'VBP')"", ""('relax', 'VB')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]","[""('relax', 'VB')""]"
14,HIND7137001,I prefer relaxing on weekends.,3,"[""('I', 'PRP')"", ""('prefer', 'VBP')"", ""('relaxing', 'VBG')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]",[]
15,HIND7137001,I prefer to relaxed on weekends.,3,"[""('I', 'PRP')"", ""('prefer', 'VBP')"", ""('to', 'TO')"", ""('relaxed', 'VB')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]","[""('relaxed', 'VB')"", ""('to', 'TO')""]"
16,HIND4554774,Are there a supermarket in this neighborhood.,2,"[""('Are', 'NNP')"", ""('there', 'EX')"", ""('a', 'DT')"", ""('supermarket', 'NN')"", ""('in', 'IN')"", ""('this', 'DT')"", ""('neighborhood', 'NN')"", ""('.', '.')""]","[""('Are', 'NNP')"", ""('there', 'EX')""]"
17,HIND4554774,There isn't a supermarket in this neighborhood.,2,"[""('There', 'EX')"", ""('is', 'VBZ')"", '(""n\'t"", \'RB\')', ""('a', 'DT')"", ""('supermarket', 'NN')"", ""('in', 'IN')"", ""('this', 'DT')"", ""('neighborhood', 'NN')"", ""('.', '.')""]",[]
18,HIND4554774,Is there a supermarket in this neighborhood.,2,"[""('Is', 'VBZ')"", ""('there', 'EX')"", ""('a', 'DT')"", ""('supermarket', 'NN')"", ""('in', 'IN')"", ""('this', 'DT')"", ""('neighborhood', 'NN')"", ""('.', '.')""]","[""('there', 'EX')"", ""('Is', 'VBZ')""]"
19,HIND4554774,,2,[],[]
20,HIND3453742,<default-male-name2> and I is good chess players.,3,"[""('John', 'NNP')"", ""('and', 'CC')"", ""('I', 'PRP')"", ""('is', 'VBZ')"", ""('good', 'JJ')"", ""('chess', 'NN')"", ""('players', 'NNS')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
21,HIND3453742,<default-male-name2> and I am good chess players.,3,"[""('John', 'NNP')"", ""('and', 'CC')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('good', 'JJ')"", ""('chess', 'NN')"", ""('players', 'NNS')"", ""('.', '.')""]","[""('am', 'VBP')""]"
22,HIND3453742,<default-male-name2> and I are good chess players.,3,"[""('John', 'NNP')"", ""('and', 'CC')"", ""('I', 'PRP')"", ""('are', 'VBP')"", ""('good', 'JJ')"", ""('chess', 'NN')"", ""('players', 'NNS')"", ""('.', '.')""]",[]
23,HIND3453742,,3,[],[]
24,HIND4446526,New York has busy streets.,1,"[""('New', 'NNP')"", ""('York', 'NNP')"", ""('has', 'VBZ')"", ""('busy', 'JJ')"", ""('streets', 'NNS')"", ""('.', '.')""]",[]
25,HIND4446526,New York has busy place.,1,"[""('New', 'NNP')"", ""('York', 'NNP')"", ""('has', 'VBZ')"", ""('busy', 'JJ')"", ""('place', 'NN')"", ""('.', '.')""]","[""('place', 'NN')""]"
26,HIND4446526,New York has busy city.,1,"[""('New', 'NNP')"", ""('York', 'NNP')"", ""('has', 'VBZ')"", ""('busy', 'JJ')"", ""('city', 'NN')"", ""('.', '.')""]","[""('city', 'NN')""]"
27,HIND4446526,New York has busy is street.,1,"[""('New', 'NNP')"", ""('York', 'NNP')"", ""('has', 'VBZ')"", ""('busy', 'JJ')"", ""('is', 'VBZ')"", ""('street', 'NN')"", ""('.', '.')""]","[""('is', 'VBZ')"", ""('street', 'NN')""]"
28,HIND3578403,Your friend speak Japanese.,3,"[""('Your', 'PRP$')"", ""('friend', 'NN')"", ""('speak', 'JJ')"", ""('Japanese', 'JJ')"", ""('.', '.')""]","[""('speak', 'JJ')""]"
29,HIND3578403,Your friend speaking Japanese.,3,"[""('Your', 'PRP$')"", ""('friend', 'NN')"", ""('speaking', 'VBG')"", ""('Japanese', 'JJ')"", ""('.', '.')""]","[""('speaking', 'VBG')""]"
30,HIND3578403,Your friend speaks Japanese.,3,"[""('Your', 'PRP$')"", ""('friend', 'NN')"", ""('speaks', 'VBZ')"", ""('Japanese', 'JJ')"", ""('.', '.')""]",[]
31,HIND3578403,,3,[],[]
32,HIND3588242,Does your sisters speak English?,2,"[""('Does', 'VBZ')"", ""('your', 'PRP$')"", ""('sisters', 'NNS')"", ""('speak', 'VBP')"", ""('English', 'NNP')"", ""('?', '.')""]","[""('Does', 'VBZ')""]"
33,HIND3588242,Do your sisters speak English?,2,"[""('Do', 'VB')"", ""('your', 'PRP$')"", ""('sisters', 'NNS')"", ""('speak', 'VBP')"", ""('English', 'NNP')"", ""('?', '.')""]",[]
34,HIND3588242,Are your sisters speak English?,2,"[""('Are', 'NNP')"", ""('your', 'PRP$')"", ""('sisters', 'NNS')"", ""('speak', 'VBP')"", ""('English', 'NNP')"", ""('?', '.')""]","[""('Are', 'NNP')""]"
35,HIND3588242,,2,[],[]
36,HIND4703799,Can I try this skirt on?,1,"[""('Can', 'MD')"", ""('I', 'PRP')"", ""('try', 'VB')"", ""('this', 'DT')"", ""('skirt', 'NN')"", ""('on', 'IN')"", ""('?', '.')""]",[]
37,HIND4703799,Can I try these skirt on?,1,"[""('Can', 'MD')"", ""('I', 'PRP')"", ""('try', 'VB')"", ""('these', 'DT')"", ""('skirt', 'NN')"", ""('on', 'IN')"", ""('?', '.')""]","[""('these', 'DT')""]"
38,HIND4703799,Can I try those skirt on?,1,"[""('Can', 'MD')"", ""('I', 'PRP')"", ""('try', 'VB')"", ""('those', 'DT')"", ""('skirt', 'NNS')"", ""('on', 'IN')"", ""('?', '.')""]","[""('skirt', 'NNS')"", ""('those', 'DT')""]"
39,HIND4703799,,1,[],[]
40,HIND6557857,We will go out for breakfast.,1,"[""('We', 'PRP')"", ""('will', 'MD')"", ""('go', 'VB')"", ""('out', 'RP')"", ""('for', 'IN')"", ""('breakfast', 'NN')"", ""('.', '.')""]",[]
41,HIND6557857,We will have out for breakfast.,1,"[""('We', 'PRP')"", ""('will', 'MD')"", ""('have', 'VB')"", ""('out', 'RP')"", ""('for', 'IN')"", ""('breakfast', 'NN')"", ""('.', '.')""]","[""('have', 'VB')""]"
42,HIND6557857,We will to have out for breakfast.,1,"[""('We', 'PRP')"", ""('will', 'MD')"", ""('to', 'TO')"", ""('have', 'VB')"", ""('out', 'RP')"", ""('for', 'IN')"", ""('breakfast', 'NN')"", ""('.', '.')""]","[""('to', 'TO')"", ""('have', 'VB')""]"
43,HIND6557857,We will going out for breakfast.,1,"[""('We', 'PRP')"", ""('will', 'MD')"", ""('going', 'VBG')"", ""('out', 'RP')"", ""('for', 'IN')"", ""('breakfast', 'NN')"", ""('.', '.')""]","[""('going', 'VBG')""]"
44,HIND3938068,Does <default-female-name2> has a daughter?,2,"[""('Does', 'NNP')"", ""('Sarah', 'NNP')"", ""('has', 'VBZ')"", ""('a', 'DT')"", ""('daughter', 'NN')"", ""('?', '.')""]","[""('has', 'VBZ')""]"
45,HIND3938068,Does <default-female-name2> have a daughter?,2,"[""('Does', 'NNP')"", ""('Sarah', 'NNP')"", ""('have', 'VB')"", ""('a', 'DT')"", ""('daughter', 'NN')"", ""('?', '.')""]",[]
46,HIND3938068,Does <default-female-name2> is has a daughter?,2,"[""('Does', 'NNP')"", ""('Sarah', 'NNP')"", ""('is', 'VBZ')"", ""('has', 'VBZ')"", ""('a', 'DT')"", ""('daughter', 'NN')"", ""('?', '.')""]","[""('has', 'VBZ')"", ""('is', 'VBZ')""]"
47,HIND3938068,,2,[],[]
48,HIND3585812,Our brothers speak Japanese.,1,"[""('Our', 'PRP$')"", ""('brothers', 'NNS')"", ""('speak', 'VBP')"", ""('Japanese', 'JJ')"", ""('.', '.')""]",[]
49,HIND3585812,Our brothers speaking Japanese.,1,"[""('Our', 'PRP$')"", ""('brothers', 'NNS')"", ""('speaking', 'VBG')"", ""('Japanese', 'JJ')"", ""('.', '.')""]","[""('speaking', 'VBG')""]"
50,HIND3585812,Our brothers speaks Japanese.,1,"[""('Our', 'PRP$')"", ""('brothers', 'NNS')"", ""('speaks', 'VBP')"", ""('Japanese', 'JJ')"", ""('.', '.')""]","[""('speaks', 'VBP')""]"
51,HIND3585812,,1,[],[]
52,HIND6406308,Congrats on your promotion.,1,"[""('Congrats', 'NNS')"", ""('on', 'IN')"", ""('your', 'PRP$')"", ""('promotion', 'NN')"", ""('.', '.')""]",[]
53,HIND6406308,Congrats to your promotion.,1,"[""('Congrats', 'NNS')"", ""('to', 'TO')"", ""('your', 'PRP$')"", ""('promotion', 'NN')"", ""('.', '.')""]","[""('to', 'TO')""]"
54,HIND6406308,Congrats from your promotion.,1,"[""('Congrats', 'NNS')"", ""('from', 'IN')"", ""('your', 'PRP$')"", ""('promotion', 'NN')"", ""('.', '.')""]","[""('from', 'IN')""]"
55,HIND6406308,,1,[],[]
56,HIND4516499,<default-male-name2> sits next to me in the class.,1,"[""('John', 'NNP')"", ""('sits', 'VBZ')"", ""('next', 'JJ')"", ""('to', 'TO')"", ""('me', 'PRP')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('class', 'NN')"", ""('.', '.')""]",[]
57,HIND4516499,<default-male-name2> sits behind to me in the class.,1,"[""('John', 'NNP')"", ""('sits', 'VBZ')"", ""('behind', 'IN')"", ""('to', 'TO')"", ""('me', 'PRP')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('class', 'NN')"", ""('.', '.')""]","[""('behind', 'IN')""]"
58,HIND4516499,<default-male-name2> sits under to me in the class.,1,"[""('John', 'NNP')"", ""('sits', 'VBZ')"", ""('under', 'IN')"", ""('to', 'TO')"", ""('me', 'PRP')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('class', 'NN')"", ""('.', '.')""]","[""('under', 'IN')""]"
59,HIND4516499,<default-male-name2> sits in front of to me in the class.,1,"[""('John', 'NNP')"", ""('sits', 'NNS')"", ""('in', 'IN')"", ""('front', 'NN')"", ""('of', 'IN')"", ""('to', 'TO')"", ""('me', 'PRP')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('class', 'NN')"", ""('.', '.')""]","[""('sits', 'NNS')"", ""('of', 'IN')"", ""('front', 'NN')""]"
60,HIND6389014,I hope you feeling better soon.,3,"[""('I', 'PRP')"", ""('hope', 'VBP')"", ""('you', 'PRP')"", ""('feeling', 'VBG')"", ""('better', 'JJR')"", ""('soon', 'RB')"", ""('.', '.')""]","[""('feeling', 'VBG')"", ""('better', 'JJR')""]"
61,HIND6389014,I hope you are feeling better soon.,3,"[""('I', 'PRP')"", ""('hope', 'VBP')"", ""('you', 'PRP')"", ""('are', 'VBP')"", ""('feeling', 'VBG')"", ""('better', 'JJR')"", ""('soon', 'RB')"", ""('.', '.')""]","[""('feeling', 'VBG')"", ""('are', 'VBP')"", ""('better', 'JJR')""]"
62,HIND6389014,I hope you feel better soon.,3,"[""('I', 'PRP')"", ""('hope', 'VBP')"", ""('you', 'PRP')"", ""('feel', 'VBP')"", ""('better', 'RB')"", ""('soon', 'RB')"", ""('.', '.')""]",[]
63,HIND6389014,I hope you will felt better soon.,3,"[""('I', 'PRP')"", ""('hope', 'VBP')"", ""('you', 'PRP')"", ""('will', 'MD')"", ""('felt', 'VB')"", ""('better', 'RB')"", ""('soon', 'RB')"", ""('.', '.')""]","[""('felt', 'VB')"", ""('will', 'MD')""]"
64,HIND6560526,Let's have for dinner together.,4,"[""('Let', 'VB')"", '(""\'s"", \'POS\')', ""('have', 'VB')"", ""('for', 'IN')"", ""('dinner', 'NN')"", ""('together', 'RB')"", ""('.', '.')""]","[""('for', 'IN')""]"
65,HIND6560526,Let's go dinner together.,4,"[""('Let', 'VB')"", '(""\'s"", \'POS\')', ""('go', 'VB')"", ""('dinner', 'NN')"", ""('together', 'RB')"", ""('.', '.')""]","[""('go', 'VB')""]"
66,HIND6560526,Let's gets dinner together.,4,"[""('Let', 'VB')"", '(""\'s"", \'POS\')', ""('gets', 'VBZ')"", ""('dinner', 'NN')"", ""('together', 'RB')"", ""('.', '.')""]","[""('gets', 'VBZ')""]"
67,HIND6560526,Let's have dinner together.,4,"[""('Let', 'VB')"", '(""\'s"", \'POS\')', ""('have', 'VB')"", ""('dinner', 'NN')"", ""('together', 'RB')"", ""('.', '.')""]",[]
68,HIND4827357,Do you want any biscuit?,2,"[""('Do', 'VBP')"", ""('you', 'PRP')"", ""('want', 'VB')"", ""('any', 'DT')"", ""('biscuit', 'NN')"", ""('?', '.')""]","[""('any', 'DT')""]"
69,HIND4827357,Do you want a biscuit?,2,"[""('Do', 'VBP')"", ""('you', 'PRP')"", ""('want', 'VB')"", ""('a', 'DT')"", ""('biscuit', 'NN')"", ""('?', '.')""]",[]
70,HIND4827357,Do you want an biscuit?,2,"[""('Do', 'VBP')"", ""('you', 'PRP')"", ""('want', 'VB')"", ""('an', 'DT')"", ""('biscuit', 'NN')"", ""('?', '.')""]","[""('an', 'DT')""]"
71,HIND4827357,,2,[],[]
72,HIND4804739,Your childrens are very smart.,2,"[""('Your', 'PRP$')"", ""('childrens', 'NNS')"", ""('are', 'VBP')"", ""('very', 'RB')"", ""('smart', 'JJ')"", ""('.', '.')""]","[""('childrens', 'NNS')""]"
73,HIND4804739,Your children are very smart.,2,"[""('Your', 'PRP$')"", ""('children', 'NNS')"", ""('are', 'VBP')"", ""('very', 'RB')"", ""('smart', 'JJ')"", ""('.', '.')""]",[]
74,HIND4804739,Your children is very smart.,2,"[""('Your', 'PRP$')"", ""('children', 'NNS')"", ""('is', 'VBZ')"", ""('very', 'RB')"", ""('smart', 'JJ')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
75,HIND4804739,Your childs are very smart.,2,"[""('Your', 'PRP$')"", ""('childs', 'NNS')"", ""('are', 'VBP')"", ""('very', 'RB')"", ""('smart', 'JJ')"", ""('.', '.')""]","[""('childs', 'NNS')""]"
76,HIND4260464,Where does <default-female-name> live?,1,"[""('Where', 'WRB')"", ""('does', 'VBZ')"", ""('Sarah', 'NNP')"", ""('live', 'VB')"", ""('?', '.')""]",[]
77,HIND4260464,Where does <default-female-name> lives?,1,"[""('Where', 'WRB')"", ""('does', 'VBZ')"", ""('Sarah', 'NNP')"", ""('lives', 'NNS')"", ""('?', '.')""]","[""('lives', 'NNS')""]"
78,HIND4260464,Where does <default-female-name> living?,1,"[""('Where', 'WRB')"", ""('does', 'VBZ')"", ""('Sarah', 'VB')"", ""('living', 'NN')"", ""('?', '.')""]","[""('living', 'NN')"", ""('Sarah', 'VB')""]"
79,HIND4260464,,1,[],[]
80,HIND4831247,I want a kg of apples.,1,"[""('I', 'PRP')"", ""('want', 'VBP')"", ""('a', 'DT')"", ""('kg', 'NN')"", ""('of', 'IN')"", ""('apples', 'NNS')"", ""('.', '.')""]",[]
81,HIND4831247,I want an kg of apples.,1,"[""('I', 'PRP')"", ""('want', 'VBP')"", ""('an', 'DT')"", ""('kg', 'NN')"", ""('of', 'IN')"", ""('apples', 'NNS')"", ""('.', '.')""]","[""('an', 'DT')""]"
82,HIND4831247,I want any kg of apples.,1,"[""('I', 'PRP')"", ""('want', 'VBP')"", ""('any', 'DT')"", ""('kg', 'NN')"", ""('of', 'IN')"", ""('apples', 'NNS')"", ""('.', '.')""]","[""('any', 'DT')""]"
83,HIND4831247,,1,[],[]
84,HIND2910195,I am from France. I is French.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('France', 'NNP')"", ""('.', '.')"", ""('I', 'PRP')"", ""('is', 'VBZ')"", ""('French', 'JJ')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
85,HIND2910195,I am from France. I am Francian.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('France', 'NNP')"", ""('.', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('Francian', 'JJ')"", ""('.', '.')""]","[""('Francian', 'JJ')""]"
86,HIND2910195,I am from France. I am French.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('France', 'NNP')"", ""('.', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('French', 'JJ')"", ""('.', '.')""]",[]
87,HIND2910195,I am from France. I French.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('France', 'NNP')"", ""('.', '.')"", ""('I', 'PRP')"", ""('French', 'JJ')"", ""('.', '.')""]",[]
88,HIND4545338,Are there any teachers in the school?,1,"[""('Are', 'NNP')"", ""('there', 'EX')"", ""('any', 'DT')"", ""('teachers', 'NNS')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('school', 'NN')"", ""('?', '.')""]",[]
89,HIND4545338,Is there any teachers in the school?,1,"[""('Is', 'VBZ')"", ""('there', 'EX')"", ""('any', 'DT')"", ""('teachers', 'NNS')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('school', 'NN')"", ""('?', '.')""]","[""('Is', 'VBZ')""]"
90,HIND4545338,There is any teachers in the school?,1,"[""('There', 'EX')"", ""('is', 'VBZ')"", ""('any', 'DT')"", ""('teachers', 'NNS')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('school', 'NN')"", ""('?', '.')""]","[""('is', 'VBZ')"", ""('There', 'EX')""]"
91,HIND4545338,,1,[],[]
92,HIND4294093,I work at <default-company-name>,1,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('Microsoft', 'NNP')""]",[]
93,HIND4294093,I work at a <default-company-name>,1,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('at', 'IN')"", ""('a', 'DT')"", ""('Microsoft', 'NNP')""]","[""('a', 'DT')""]"
94,HIND4294093,I work from <default-company-name>,1,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('from', 'IN')"", ""('Microsoft', 'NNP')""]","[""('from', 'IN')""]"
95,HIND4294093,I work on <default-company-name>,1,"[""('I', 'PRP')"", ""('work', 'VBP')"", ""('on', 'IN')"", ""('Microsoft', 'NNP')""]","[""('on', 'IN')""]"
96,HIND4192355,<default-male-name2>''s bag is under the bed.,1,"[""('John', 'NNP')"", '(""\'s"", \'POS\')', ""('bag', 'NN')"", ""('is', 'VBZ')"", ""('under', 'IN')"", ""('the', 'DT')"", ""('bed', 'NN')"", ""('.', '.')""]",[]
97,HIND4192355,<default-male-name2>''s bag is at the bed.,1,"[""('John', 'NNP')"", '(""\'s"", \'POS\')', ""('bag', 'NN')"", ""('is', 'VBZ')"", ""('at', 'IN')"", ""('the', 'DT')"", ""('bed', 'NN')"", ""('.', '.')""]","[""('at', 'IN')""]"
98,HIND4192355,<default-male-name2>''s bag is in the bed.,1,"[""('John', 'NNP')"", '(""\'s"", \'POS\')', ""('bag', 'NN')"", ""('is', 'VBZ')"", ""('in', 'IN')"", ""('the', 'DT')"", ""('bed', 'NN')"", ""('.', '.')""]","[""('in', 'IN')""]"
99,HIND4192355,,1,[],[]
100,HIND4541526,Are there the letter 'f' in the word photograph.,2,"[""('Are', 'NNP')"", ""('there', 'EX')"", ""('the', 'DT')"", ""('letter', 'NN')"", '(""\'f"", \'POS\')', '(""\'"", ""\'\'"")', ""('in', 'IN')"", ""('the', 'DT')"", ""('word', 'NN')"", ""('photograph', 'NN')"", ""('.', '.')""]","[""('Are', 'NNP')"", ""('there', 'EX')""]"
101,HIND4541526,There isn't the letter 'f' in the word photograph.,2,"[""('There', 'EX')"", ""('is', 'VBZ')"", '(""n\'t"", \'RB\')', ""('the', 'DT')"", ""('letter', 'NN')"", '(""\'f"", \'POS\')', '(""\'"", ""\'\'"")', ""('in', 'IN')"", ""('the', 'DT')"", ""('word', 'NN')"", ""('photograph', 'NN')"", ""('.', '.')""]",[]
102,HIND4541526,Are the letter 'f' in the word photograph.,2,"[""('Are', 'VBP')"", ""('the', 'DT')"", ""('letter', 'NN')"", '(""\'f"", \'POS\')', '(""\'"", ""\'\'"")', ""('in', 'IN')"", ""('the', 'DT')"", ""('word', 'NN')"", ""('photograph', 'NN')"", ""('.', '.')""]","[""('Are', 'VBP')""]"
103,HIND4541526,,2,[],[]
104,HIND3830855,<default-actor-name> <default-actor-surname> have black and white hair.,3,"[""('Tom', 'NNP')"", ""('Cruise', 'NNP')"", ""('have', 'VBP')"", ""('black', 'JJ')"", ""('and', 'CC')"", ""('white', 'JJ')"", ""('hair', 'NN')"", ""('.', '.')""]","[""('have', 'VBP')""]"
105,HIND3830855,<default-actor-name> <default-actor-surname> has a black and white hair.,3,"[""('Tom', 'NNP')"", ""('Cruise', 'NNP')"", ""('has', 'VBZ')"", ""('a', 'DT')"", ""('black', 'JJ')"", ""('and', 'CC')"", ""('white', 'JJ')"", ""('hair', 'NN')"", ""('.', '.')""]","[""('a', 'DT')""]"
106,HIND3830855,<default-actor-name> <default-actor-surname> has black and white hair.,3,"[""('Tom', 'NNP')"", ""('Cruise', 'NNP')"", ""('has', 'VBZ')"", ""('black', 'JJ')"", ""('and', 'CC')"", ""('white', 'JJ')"", ""('hair', 'NN')"", ""('.', '.')""]",[]
107,HIND3830855,,3,[],[]
108,HIND3789254,Your father is a smart man.,1,"[""('Your', 'PRP$')"", ""('father', 'NN')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('smart', 'JJ')"", ""('man', 'NN')"", ""('.', '.')""]",[]
109,HIND3789254,Your father is smart man.,1,"[""('Your', 'PRP$')"", ""('father', 'NN')"", ""('is', 'VBZ')"", ""('smart', 'JJ')"", ""('man', 'NN')"", ""('.', '.')""]",[]
110,HIND3789254,Your father is smarty man.,1,"[""('Your', 'PRP$')"", ""('father', 'NN')"", ""('is', 'VBZ')"", ""('smarty', 'JJ')"", ""('man', 'NN')"", ""('.', '.')""]","[""('smarty', 'JJ')""]"
111,HIND3789254,,1,[],[]
112,HIND4747658,How much is this pants for?,2,"[""('How', 'WRB')"", ""('much', 'JJ')"", ""('is', 'VBZ')"", ""('this', 'DT')"", ""('pants', 'NNS')"", ""('for', 'IN')"", ""('?', '.')""]","[""('this', 'DT')"", ""('is', 'VBZ')""]"
113,HIND4747658,How much are these pants for?,2,"[""('How', 'WRB')"", ""('much', 'JJ')"", ""('are', 'VBP')"", ""('these', 'DT')"", ""('pants', 'NNS')"", ""('for', 'IN')"", ""('?', '.')""]",[]
114,HIND4747658,How much is these pants for?,2,"[""('How', 'WRB')"", ""('much', 'JJ')"", ""('is', 'VBZ')"", ""('these', 'DT')"", ""('pants', 'NNS')"", ""('for', 'IN')"", ""('?', '.')""]","[""('is', 'VBZ')""]"
115,HIND4747658,How much are that pants for?,2,"[""('How', 'WRB')"", ""('much', 'JJ')"", ""('are', 'VBP')"", ""('that', 'IN')"", ""('pants', 'NNS')"", ""('for', 'IN')"", ""('?', '.')""]","[""('that', 'IN')""]"
116,HIND4720844,How much bottles of water.,2,"[""('How', 'WRB')"", ""('much', 'JJ')"", ""('bottles', 'NNS')"", ""('of', 'IN')"", ""('water', 'NN')"", ""('.', '.')""]","[""('much', 'JJ')""]"
117,HIND4720844,How many bottles of water.,2,"[""('How', 'WRB')"", ""('many', 'JJ')"", ""('bottles', 'NNS')"", ""('of', 'IN')"", ""('water', 'NN')"", ""('.', '.')""]",[]
118,HIND4720844,How manies bottles of water.,2,"[""('How', 'WRB')"", ""('manies', 'NNS')"", ""('bottles', 'NNS')"", ""('of', 'IN')"", ""('water', 'NN')"", ""('.', '.')""]","[""('manies', 'NNS')""]"
119,HIND4720844,,2,[],[]
120,HIND4059388,My red pants fit me well.,1,"[""('My', 'PRP$')"", ""('red', 'JJ')"", ""('pants', 'NNS')"", ""('fit', 'VB')"", ""('me', 'PRP')"", ""('well', 'RB')"", ""('.', '.')""]",[]
