Slide ID,Options,Correct ID
HIND3585812,Our brothers speaking Japanese.,1
HIND3585812,Our brothers speaks Japanese.,1
HIND3585812,,1
HIND6406308,Congrats on your promotion.,1
HIND6406308,Congrats to your promotion.,1
HIND6406308,Congrats from your promotion.,1
HIND6406308,,1
HIND4516499,John sits next to me in the class.,1
HIND4516499,John sits behind to me in the class.,1
HIND4516499,John sits under to me in the class.,1
HIND4516499,John sits in front of to me in the class.,1
HIND6389014,I hope you feeling better soon.,3
HIND6389014,I hope you are feeling better soon.,3
HIND6389014,I hope you feel better soon.,3
HIND6389014,I hope you will felt better soon.,3
HIND6560526,Let's have for dinner together.,4
HIND6560526,Let's go dinner together.,4
HIND6560526,Let's gets dinner together.,4
HIND6560526,Let's have dinner together.,4
HIND4827357,Do you want any biscuit?,2
HIND4827357,Do you want a biscuit?,2
HIND4827357,Do you want an biscuit?,2
HIND4827357,,2
HIND4804739,Your childrens are very smart.,2
HIND4804739,Your children are very smart.,2
HIND4804739,Your children is very smart.,2
HIND4804739,Your childs are very smart.,2
HIND4260464,Where does Sarah live?,1
HIND4260464,Where does Sarah lives?,1
HIND4260464,Where does Sarah living?,1
HIND4260464,,1
HIND4831247,I want a kg of apples.,1
HIND4831247,I want an kg of apples.,1
HIND4831247,I want any kg of apples.,1
HIND4831247,,1
HIND2910195,I am from France. I is French.,3
HIND2910195,I am from France. I am Francian.,3
HIND2910195,I am from France. I am French.,3
HIND2910195,I am from France. I French.,3
HIND4545338,Are there any teachers in the school?,1
HIND4545338,Is there any teachers in the school?,1
HIND4545338,There is any teachers in the school?,1
HIND4545338,,1
HIND4294093,I work at Microsoft,1
HIND4294093,I work at a Microsoft,1
HIND4294093,I work from Microsoft,1
HIND4294093,I work on Microsoft,1
HIND4192355,John's bag is under the bed.,1
HIND4192355,John's bag is at the bed.,1
HIND4192355,John's bag is in the bed.,1
HIND4192355,,1
HIND4541526,Are there the letter 'f' in the word photograph.,2
HIND4541526,There isn't the letter 'f' in the word photograph.,2
HIND4541526,Are the letter 'f' in the word photograph.,2
HIND4541526,,2
HIND3830855,Tom Cruise have black and white hair.,3
HIND3830855,Tom Cruise has a black and white hair.,3
HIND3830855,Tom Cruise has black and white hair.,3
HIND3830855,,3
HIND3789254,Your father is a smart man.,1
HIND3789254,Your father is smart man.,1
HIND3789254,Your father is smarty man.,1
HIND3789254,,1
HIND4747658,How much is this pants for?,2
HIND4747658,How much are these pants for?,2
HIND4747658,How much is these pants for?,2
HIND4747658,How much are that pants for?,2
HIND4720844,How much bottles of water.,2
HIND4720844,How many bottles of water.,2
HIND4720844,How manies bottles of water.,2
HIND4720844,,2
HIND4059388,My red pants fit me well.,1
HIND4059388,My red pant fit me well.,1
HIND4059388,My red pants are fit me well.,1
HIND4059388,,1
HIND3945250,Do they have a cat?,1
HIND3945250,Does they have a cat?,1
HIND3945250,Are they have a cat?,1
HIND3945250,,1
HIND4306038,Sarah and Sarah work at a school.,1
HIND4306038,Sarah work at a school.,1
HIND4306038,Sarah work at a school.,1
HIND4306038,,1
HIND3194056,I dances very well.,2
HIND3194056,I dance very well.,2
HIND3194056,I am dance very well.,2
HIND3194056,I dancing very well.,2
HIND3176368,They eats bread.,2
HIND3176368,They eat bread.,2
HIND3176368,They are eat bread.,2
HIND3176368,They does eat bread.,2
HIND4552926,Are there any windows in the room?,1
HIND4552926,There isn't any windows in the room?,1
HIND4552926,Is there any windows in the room?,1
HIND4552926,,1
HIND3191070,He drinks water,1
HIND3191070,He drink water,1
HIND3191070,He are drink water,1
HIND3191070,He do drink water,1
HIND4240582,She live next to the mall in Jaipur,2
HIND4240582,They live next to the mall in Jaipur,2
HIND4240582,He live next to the mall in Jaipur,2
HIND4240582,,2
HIND3944044,Do John have a son?,2
HIND3944044,Does John have a son?,2
HIND3944044,Is John have a son?,2
HIND3944044,,2
HIND4267090,Where do they live?,1
HIND4267090,Where does they live?,1
HIND4267090,Where are they live?,1
HIND4267090,,1
HIND4777212,There isn't many tea in the cup.,2
HIND4777212,There isn't much tea in the cup.,2
HIND4777212,There isn't a tea in the cup.,2
HIND4777212,,2
HIND4237327,Sarah lives behind my house in Jaipur.,1
HIND4237327,Sarah does lives behind my house in Jaipur.,1
HIND4237327,Sarah live behind my house in Jaipur.,1
HIND4237327,Sarah is lives behind my house in Jaipur.,1
HIND4317489,Where are John work?,3
HIND4317489,Where is John work?,3
HIND4317489,Where does John work?,3
HIND4317489,,3
HIND3590736,This is there sister.,2
HIND3590736,This is their sister.,2
HIND3590736,This is theirs sister.,2
HIND3590736,,2
HIND4826149,Do you have a children?,3
HIND4826149,Do you have an children?,3
HIND4826149,Do you have any children?,3
HIND4826149,,3
HIND4731992,How many money do you have?,2
HIND4731992,How much money do you have?,2
HIND4731992,,2
HIND4731992,,2
HIND4828565,Are there a apples in the fridge?,3
HIND4828565,Are there an apples in the fridge?,3
HIND4828565,Are there any apples in the fridge?,3
HIND4828565,,3
HIND2908990,She is from England. She is England.,3
HIND2908990,She is from England. She are British.,3
HIND2908990,She is from England. She is British.,3
HIND2908990,She is from England. She am British.,3
HIND3448548,Look there is John.,1
HIND3448548,Look there am John.,1
HIND3448548,Look there are John.,1
HIND3448548,,1
HIND4677169,I would like some oranges.,1
HIND4677169,I want like some oranges.,1
HIND4677169,I have like some oranges.,1
HIND4677169,I am like some oranges.,1
HIND3798572,She is smart woman.,3
HIND3798572,She is smarty woman.,3
HIND3798572,She is a smart woman.,3
HIND3798572,,3
HIND2984407,Is she a student?,1
HIND2984407,Is you a student?,1
HIND2984407,Is she is a student?,1
HIND2984407,Does she a student?,1
HIND6356031,I have seen DDLJ fifth times.,2
HIND6356031,I have seen DDLJ five times.,2
HIND6356031,I have seen DDLJ fiveth times.,2
HIND6356031,I have seen DDLJ five time.,2
HIND4702042,"How much are those pants, the ones displayed here?",2
HIND4702042,"How much are these pants, the ones displayed here?",2
HIND4702042,"How much are this pants, the ones displayed here?",2
HIND4702042,"How much are that pants, the ones displayed here?",2
HIND3946503,Do you have a girl-friend?,1
HIND3946503,Does you have a girl-friend?,1
HIND3946503,Are you have a girl-friend?,1
HIND3946503,,1
HIND4750362,How much is this house for?,1
HIND4750362,How much is these house for?,1
HIND4750362,How much is those house for?,1
HIND4750362,How much are this house for?,1
HIND4843016,Are a of those shoes Sarah's?,2
HIND4843016,Are any of those shoes Sarah's?,2
HIND4843016,Are the of those shoes Sarah's?,2
HIND4843016,,2
HIND3195548,They dance very well.,1
HIND3195548,They dances very well.,1
HIND3195548,They are dance very well.,1
HIND3195548,They dancing very well.,1
HIND4539098,Is there a bathroom in this house?,1
HIND4539098,There are a bathroom in this house?,1
HIND4539098,Is a bathroom in this house?,1
HIND4539098,,1
HIND2983203,Are they from America?,1
HIND2983203,Is they from America?,1
HIND2983203,Are they are from America?,1
HIND2983203,Do they are from America?,1
HIND4824913,Is there a milk in the fridge?,2
HIND4824913,Is there any milk in the fridge?,2
HIND4824913,Is there an milk in the fridge?,2
HIND4824913,Is there the milk in the fridge?,2
HIND3185435,Do you drinks water?,2
HIND3185435,Do you drink water?,2
HIND3185435,Do you are drink water?,2
HIND3185435,,2
HIND4551145,There aren't a kitchen in this house?,3
HIND4551145,There isn't a kitchen in this house?,3
HIND4551145,Is there a kitchen in this house?,3
HIND4551145,,3
HIND3160790,He speak English.,3
HIND3160790,She speak English.,3
HIND3160790,We speak English.,3
HIND3160790,Us speak English.,3
HIND4521472,John sits between Sarah and Sarah.,1
HIND4521472,John sits in front Sarah and Sarah.,1
HIND4521472,John sits next Sarah and Sarah.,1
HIND4521472,,1
HIND4146305,My books are in my room.,1
HIND4146305,My books are on my room.,1
HIND4146305,My books are at my room.,1
HIND4146305,,1
HIND4808394,Silver are expensive.,2
HIND4808394,Silver is expensive.,2
HIND4808394,Silver does expensive.,2
HIND4808394,Silver has expensive.,2
HIND4723908,How much bottles of Pepsi do you have?,2
HIND4723908,How many bottles of Pepsi do you have?,2
HIND4723908,,2
HIND4723908,,2
HIND3707630,How old your mother?,2
HIND3707630,How old is your mother?,2
HIND3707630,How many years is your mother?,2
HIND3707630,How old are your mother?,2
HIND4311119,Sarah and I works at a school.,3
HIND4311119,Sarah and I are work at a school.,3
HIND4311119,Sarah and I work at a school.,3
HIND4311119,,3
HIND4811695,The shoes are very expensive.,1
HIND4811695,The shoes is very expensive.,1
HIND4811695,The shoes has very expensive.,1
HIND4811695,The shoes have very expensive.,1
HIND4782449,There aren't much water in the glass.,2
HIND4782449,There isn't much water in the glass.,2
HIND4782449,There isn't many water in the glass.,2
HIND4782449,There isn't a water in the glass.,2
HIND4543855,Their is a bank next to the school.,3
HIND4543855,There are a bank next to the school.,3
HIND4543855,There is a bank next to the school.,3
HIND4543855,,3
HIND3631340,How many airports are in Jaipur?,3
HIND3631340,How many airports there are in Jaipur?,3
HIND3631340,How many airports are there in Jaipur?,3
HIND3631340,,3
HIND2907790,He is China. He is Chinese.,3
HIND2907790,He from China. He is Chinese.,3
HIND2907790,He is from China. He is Chinese.,3
HIND2907790,,3
HIND4722201,How much sugar do you have?,1
HIND4722201,How many sugar do you have?,1
HIND4722201,,1
HIND4722201,,1
HIND4851442,They don't have a chocolates.,2
HIND4851442,They don't have any chocolates.,2
HIND4851442,They don't have some chocolates.,2
HIND4851442,,2
HIND2954775,He is not China. He is not Chinese.,3
HIND2954775,He is from not China. He is not Chinese.,3
HIND2954775,He is not from China. He is not Chinese.,3
HIND2954775,He is not is from China. He is not Chinese.,3
HIND2961416,"She's isn't from England, she is not British.",3
HIND2961416,"She isn't not from England, she is not British.",3
HIND2961416,"She isn't from England, she is not British.",3
HIND2961416,"She's not is from England, she is not British.",3
HIND4855833,Does she have some sisters?,3
HIND4855833,Does she have a sisters?,3
HIND4855833,Does she have any sisters?,3
HIND4855833,Does she have much sisters?,3
HIND3598911,Her wife is smart.,2
HIND3598911,His wife is smart.,2
HIND3598911,She wife is smart.,2
HIND3598911,,2
HIND3924239,Sarah has two daughters.,1
HIND3924239,Sarah have two daughters.,1
HIND3924239,Sarah is have two daughters.,1
HIND3924239,,1
HIND4549167,There aren't any students in the school.,1
HIND4549167,There isn't any students in the school.,1
HIND4549167,There is any students in the school.,1
HIND4549167,,1
HIND3337124,+918761031719 is don't my number.,2
HIND3337124,+918761031719 isn't my number.,2
HIND3337124,+918761031719 aren't my number.,2
HIND3337124,+918761031719 doesn't my number.,2
HIND4523402,Are there a mall on this street?,3
HIND4523402,There a mall on this street?,3
HIND4523402,Is there a mall on this street?,3
HIND4523402,,3
HIND4813291,These am my water bottles.,2
HIND4813291,These are my water bottles.,2
HIND4813291,These has my water bottles.,2
HIND4813291,These is my water bottles.,2
HIND3455653,John's bag is heavy.,1
HIND3455653,John's bag am heavy.,1
HIND3455653,John's bag are heavy.,1
HIND3455653,,1
HIND3595249,Their brothers are smart.,1
HIND3595249,They brothers are smart.,1
HIND3595249,Them brothers are smart.,1
HIND3595249,There brothers are smart.,1
HIND2911529,I am from China. I am Chinese.,1
HIND2911529,I am China. I am Chinese.,1
HIND2911529,I from China. I am Chinese.,1
HIND2911529,I belong China. I am Chinese.,1
HIND3801003,I have 2 reds bags.,3
HIND3801003,I have 2 a red bags.,3
HIND3801003,I have 2 red bags.,3
HIND3801003,,3
HIND4719038,How many flowers.,1
HIND4719038,How much flowers.,1
HIND4719038,,1
HIND4719038,,1
HIND4697665,How much is this ice cream here?,1
HIND4697665,How much is that ice cream here?,1
HIND4697665,How much is these ice cream here?,1
HIND4697665,,1
HIND3939522,Does Mr. Khan has a car?,2
HIND3939522,Does Mr. Khan have a car?,2
HIND3939522,Does Mr. Khan is has a car?,2
HIND3939522,,2
HIND4302343,He works at a school.,1
HIND4302343,He work at a school.,1
HIND4302343,He is work at a school.,1
HIND4302343,,1
HIND3972054,Sarah doesn't has two daughters.,2
HIND3972054,Sarah doesn't have two daughters.,2
HIND3972054,Sarah don't has two daughters.,2
HIND3972054,Sarah is not have two daughters.,2
HIND2965485,They aren't Chinese.,1
HIND2965485,They're aren't Chinese.,1
HIND2965485,They're are not Chinese.,1
HIND2965485,,1
HIND4848304,He doesn't have a apples.,3
HIND4848304,He doesn't have some apples.,3
HIND4848304,He doesn't have any apples.,3
HIND4848304,,3
HIND2923189,Your American.,3
HIND2923189,Your're American.,3
HIND2923189,You're American.,3
HIND2923189,Your are American.,3
HIND3970797,I don't has two sons.,2
HIND3970797,I don't have two sons.,2
HIND3970797,I doesn't have two sons.,2
HIND3970797,,2
HIND3429397,is this your daughter?,1
HIND3429397,am this your daughter?,1
HIND3429397,are this your daughter?,1
HIND3429397,,1
HIND4319927,Do you works at Microsoft?,2
HIND4319927,Do you work at Microsoft?,2
HIND4319927,Do you working at Microsoft?,2
HIND4319927,,2
HIND4728596,How much pairs of shoes do you have?,2
HIND4728596,How many pairs of shoes do you have?,2
HIND4728596,How manies pairs of shoes do you have?,2
HIND4728596,Hows many pairs of shoes do you have?,2
HIND4187444,John's bag is in the room.,1
HIND4187444,John's bag is at the room.,1
HIND4187444,John's bag is on the room.,1
HIND4187444,,1
HIND3584594,Our brother speak Japanese.,3
HIND3584594,Our brother speaking Japanese.,3
HIND3584594,Our brother speaks Japanese.,3
HIND3584594,,3
HIND4830024,Do you have a black skirt?,1
HIND4830024,Do you have the black skirt?,1
HIND4830024,Do you have an black skirt?,1
HIND4830024,,1
HIND2964044,Your not American.,3
HIND2964044,Your're not American.,3
HIND2964044,You're not American.,3
HIND2964044,Your aren't American.,3
HIND4844271,Are a of your sisters married?,3
HIND4844271,Are many of your sisters married?,3
HIND4844271,Are any of your sisters married?,3
HIND4844271,,3
HIND2921474,They're Chinese.,1
HIND2921474,They're are Chinese.,1
HIND2921474,They's Chinese.,1
HIND2921474,Their Chinese.,1
HIND4768215,I want a sugar.,3
HIND4768215,I want few sugar.,3
HIND4768215,I want some sugar.,3
HIND4768215,I want many sugar.,3
HIND4600462,Siddhivinayak is a famous beach in Mumbai.,3
HIND4600462,Siddhivinayak is a famous temple in Delhi.,3
HIND4600462,Siddhivinayak is a famous temple in Mumbai.,3
HIND4600462,,3
HIND4781128,There is some water in the glass.,1
HIND4781128,There is few water in the glass.,1
HIND4781128,There is a water in the glass.,1
HIND4781128,,1
HIND3942793,Do they have a dog?,1
HIND3942793,Do they has a dog?,1
HIND3942793,Do they are have a dog?,1
HIND3942793,,1
HIND3715965,I am in my thirty.,4
HIND3715965,I am in my thirtieth.,4
HIND3715965,I am in my thirty two.,4
HIND3715965,I am in my thirties.,4
HIND4717643,How many tea.,2
HIND4717643,How much tea.,2
HIND4717643,,2
HIND4717643,,2
HIND3799802,This is red bag.,2
HIND3799802,This is a red bag.,2
HIND3799802,This is reds bag.,2
HIND3799802,,2
HIND2916926,"He is from France, He're French.",3
HIND2916926,"He is from France, He's is French.",3
HIND2916926,"He is from France, He's French.",3
HIND2916926,"He is from France, Hes's French.",3
HIND3854247,I hear with my eyes.,3
HIND3854247,I run with my eyes.,3
HIND3854247,I see with my eyes.,3
HIND3854247,,3
HIND4852732,There is a rice in the fridge.,3
HIND4852732,There is the rice in the fridge.,3
HIND4852732,There is some rice in the fridge.,3
HIND4852732,There is any rice in the fridge.,3
HIND3947706,Have you have siblings?,3
HIND3947706,Does you have siblings?,3
HIND3947706,Do you have siblings?,3
HIND3947706,,3
HIND4775929,How much juice are there in the glass?,2
HIND4775929,How much juice is there in the glass?,2
HIND4775929,How much juices are there in the glass?,2
HIND4775929,,2
HIND4599114,Marine drive is a famous park in Mumbai.,2
HIND4599114,Marine drive is a famous street in Mumbai.,2
HIND4599114,Marine drive is a famous hospital in Mumbai.,2
HIND4599114,,2
HIND3423630,John's bag is heavy.,1
HIND3423630,John's bag am heavy.,1
HIND3423630,John's bag are heavy.,1
HIND3423630,,1
HIND3634128,How many cars you have?,3
HIND3634128,How many cars you has?,3
HIND3634128,How many cars do you have?,3
HIND3634128,,3
HIND3411029,Excuse me! Is you a teacher?,3
HIND3411029,Excuse me! Am you a teacher?,3
HIND3411029,Excuse me! Are you a teacher?,3
HIND3411029,Excuse me! Do you a teacher?,3
HIND3973267,John doesn't has a dog.,2
HIND3973267,John doesn't have a dog.,2
HIND3973267,John don't has a dog.,2
HIND3973267,John is not have a dog.,2
HIND3535222,My brother and sister is smart.,2
HIND3535222,My brother and sister are smart.,2
HIND3535222,My brother and sister am smart.,2
HIND3535222,,2
HIND4186197,John's bag is in the table.,3
HIND4186197,John's bag is at the table.,3
HIND4186197,John's bag is on the table.,3
HIND4186197,,3
HIND3226147,She don't speak English.,2
HIND3226147,She doesn't speak English.,2
HIND3226147,She is not speak English.,2
HIND3226147,,2
HIND2906274,They are from America. They is Chinese.,2
HIND2906274,They are from America. They are American.,2
HIND2906274,They are from America. They are Indian.,2
HIND2906274,They are from America. They have American.,2
HIND2918718,"She's is from England, she is British.",3
HIND2918718,"She'm from England, she is British.",3
HIND2918718,"She's from England, she is British.",3
HIND2918718,"She're from England, she is British.",3
HIND4765552,Can I have a milk?,3
HIND4765552,Can I have few milk?,3
HIND4765552,Can I have some milk?,3
HIND4765552,,3
HIND3867136,I hear with my hands.,3
HIND3867136,I see with my hands.,3
HIND3867136,I eat with my hands.,3
HIND3867136,,3
HIND2962773,They're not Chinese.,1
HIND2962773,They're are not Chinese.,1
HIND2962773,They's not Chinese.,1
HIND2962773,They aren't not Chinese.,1
HIND4103463,I cook at the kitchen.,3
HIND4103463,I cook on the kitchen.,3
HIND4103463,I cook in the kitchen.,3
HIND4103463,,3
HIND2867061,I am from a city in Rajasthan.,1
HIND2867061,I am for a city in Rajasthan.,1
HIND2867061,I am come from a city in Rajasthan.,1
HIND2867061,I am belong to a city in Rajasthan.,1
HIND2967252,My name isn't Sarah.,1
HIND2967252,My name is not is Sarah.,1
HIND2967252,My name isn't not Sarah.,1
HIND2967252,,1
HIND3823736,My bag is a white.,3
HIND3823736,My bag is the white.,3
HIND3823736,My bag is white.,3
HIND3823736,,3
HIND4816466,Those women am very pretty.,2
HIND4816466,Those women are very pretty.,2
HIND4816466,Those women has very pretty.,2
HIND4816466,Those women is very pretty.,2
HIND3940944,Do you have a boy-friend?,1
HIND3940944,Do you has a boy-friend?,1
HIND3940944,Do you are have a boy-friend?,1
HIND3940944,,1
HIND4602479,There are many famous beaches in Delhi.,2
HIND4602479,There are many famous restaurants in Delhi.,2
HIND4602479,There are many famous park in Delhi.,2
HIND4602479,,2
HIND3615323,How many bags are them ?,3
HIND3615323,How many bags are their ?,3
HIND3615323,How many bags are there ?,3
HIND3615323,,3
HIND3142214,They speak English.,"\\\""are\\\"" लगाने की ज़रुरत नहीं है. \\\""They speak\\\"" = वे बोलते हैं."""
HIND3142214,They speaks English.,"\\\""are\\\"" लगाने की ज़रुरत नहीं है. \\\""They speak\\\"" = वे बोलते हैं."""
HIND3142214,They are speak English.,"\\\""are\\\"" लगाने की ज़रुरत नहीं है. \\\""They speak\\\"" = वे बोलते हैं."""
HIND3142214,They are speaks English.,"\\\""are\\\"" लगाने की ज़रुरत नहीं है. \\\""They speak\\\"" = वे बोलते हैं."""
HIND4846703,He has a apples.,3
HIND4846703,He has any apples.,3
HIND4846703,He has some apples.,3
HIND4846703,,3
HIND2932196,We are not teachers.,1
HIND2932196,We is not teachers.,1
HIND2932196,We am not teachers.,1
HIND2932196,We are not a teachers.,1
HIND4857128,She doesn't have a ideas for the project.,2
HIND4857128,She doesn't have any ideas for the project.,2
HIND4857128,She doesn't have some ideas for the project.,2
HIND4857128,,2
HIND4219132,John is house is behind the airport.,3
HIND4219132,John house is behind the airport.,3
HIND4219132,John's house is behind the airport.,3
HIND4219132,,3
HIND4547227,There isn't five rooms in this house.,2
HIND4547227,There are five rooms in this house.,2
HIND4547227,There is five rooms in this house.,2
HIND4547227,,2
HIND2953467,John is not from America. He not American.,2
HIND2953467,John is not from America. He is not American.,2
HIND2953467,John is not from America. He's not is American.,2
HIND2953467,John is not from America. He don't American.,2
HIND4216601,Japan is capital is Tokyo.,3
HIND4216601,Japan of capital is Tokyo.,3
HIND4216601,Japan's capital is Tokyo.,3
HIND4216601,,3
HIND3570279,This is her sister.,1
HIND3570279,This is hers sister.,1
HIND3570279,This is she sister.,1
HIND3570279,,1
HIND3923032,I has two sons.,2
HIND3923032,I have two sons.,2
HIND3923032,I am have two sons.,2
HIND3923032,,2
HIND4787804,Can I have a rice.,3
HIND4787804,Can I have many rice.,3
HIND4787804,Can I have some rice.,3
HIND4787804,Can I have few rice.,3
HIND2846973,What's up?,1
HIND2846973,What're up?,1
HIND2846973,What up?,1
HIND2846973,How's up?,1
HIND4163976,She is sitting in the chair.,3
HIND4163976,She is sitting at the chair.,3
HIND4163976,She is sitting on the chair.,3
HIND4163976,,3
HIND3869273,I hear with my feet.,2
HIND3869273,I walk with my feet.,2
HIND3869273,I see with my feet.,2
HIND3869273,,2
HIND4215319,My father's bag is under the bed.,1
HIND4215319,My father is bag is under the bed.,1
HIND4215319,My father has bag is under the bed.,1
HIND4215319,,1
HIND3663335,There are threeteen cars at the airport.,3
HIND3663335,There are one cars at the airport.,3
HIND3663335,There are thirteen cars at the airport.,3
HIND3663335,,3
HIND3787519,Your father is a smart.,2
HIND3787519,Your father is smart.,2
HIND3787519,Your father is smarty.,2
HIND3787519,,2
HIND4675838,Can I has some milk please?,2
HIND4675838,Can I have some milk please?,2
HIND4675838,Can I am have some milk please?,2
HIND4675838,Can I having some milk please?,2
HIND4444506,London has noisy neighborhoods.,1
HIND4444506,London has noise neighborhoods.,1
HIND4444506,London has noisely neighborhoods.,1
HIND4444506,London has is noisy neighborhoods.,1
HIND3259172,They are not my friends.,1
HIND3259172,They do not my friends.,1
HIND3259172,They is not my friends.,1
HIND3259172,,1
HIND2981978,Is you John?,3
HIND2981978,Are you the John?,3
HIND2981978,Are you John?,3
HIND2981978,Do you John?,3
HIND3081674,Me speak English.,2
HIND3081674,I speak English.,2
HIND3081674,I am speak English.,2
HIND3081674,I does speak English.,2
HIND3597681,Her husband is smart.,1
HIND3597681,His husband is smart.,1
HIND3597681,She husband is smart.,1
HIND3597681,,1
HIND3115349,I speaks a little English.,2
HIND3115349,I speak a little English.,2
HIND3115349,I am speaking a little English.,2
HIND3115349,I am speak a little English.,2
HIND4814628,am Hindi easy?,4
HIND4814628,are Hindi easy?,4
HIND4814628,has Hindi easy?,4
HIND4814628,is Hindi easy?,4
HIND4536122,There is a bookstore near my house.,1
HIND4536122,There are a bookstore near my house.,1
HIND4536122,Is a bookstore near my house.,1
HIND4536122,,1
HIND4264130,Where do Mr. and Mrs. Khan live?,1
HIND4264130,Where do Mr. and Mrs. Khan lives?,1
HIND4264130,Where do Mr. and Mrs. Khan living?,1
HIND4264130,,1
HIND3891789,I hear with my nose.,2
HIND3891789,I smell with my nose.,2
HIND3891789,I see with my nose.,2
HIND3891789,,2
HIND3236414,I don't eats bread.,3
HIND3236414,I don't drinks bread.,3
HIND3236414,I don't eat bread.,3
HIND3236414,,3
HIND3388128,Turn the door.,2
HIND3388128,Close the door.,2
HIND3388128,Turn off the door.,2
HIND3388128,,2
HIND3080217,I speak English.,1
HIND3080217,I speaks English.,1
HIND3080217,I am speak English.,1
HIND3080217,I speaking English.,1
HIND3608529,How many car.,3
HIND3608529,How many is cars.,3
HIND3608529,How many cars.,3
HIND3608529,,3
HIND4193568,John's house is under the airport.,3
HIND4193568,John's house is on the airport.,3
HIND4193568,John's house is behind the airport.,3
HIND4193568,,3
HIND4678601,"I would like a red roses, please.",4
HIND4678601,"I would like little red roses, please.",4
HIND4678601,"I would like am red roses, please.",4
HIND4678601,"I would like some red roses, please.",4
HIND4806419,The news are good today.,2
HIND4806419,The news is good today.,2
HIND4806419,,2
HIND4806419,,2
HIND4623619,I buy clothes at a mall.,1
HIND4623619,I buy clothes at a book store.,1
HIND4623619,I buy clothes at a grocery store.,1
HIND4623619,I buy clothes at a fish market.,1
HIND4162314,I sleep in my bed.,3
HIND4162314,I sleep at my bed.,3
HIND4162314,I sleep on my bed.,3
HIND4162314,,3
HIND4774666,How much sugar is there in the cup?,1
HIND4774666,How much sugars is there in the cup?,1
HIND4774666,,1
HIND4774666,,1
HIND4716214,How much oranges?,2
HIND4716214,How many oranges?,2
HIND4716214,,2
HIND4716214,,2
HIND3613882,How many bags is there?,3
HIND3613882,How many bags has there?,3
HIND3613882,How many bags are there?,3
HIND3613882,,3
HIND2955982,"She is not from England, she is British not.",3
HIND2955982,"She is not from England, she are not British.",3
HIND2955982,"She is not from England, she is not British.",3
HIND2955982,"She is not from England, she am not British.",3
HIND4766888,I drink milk.,1
HIND4766888,I drink milks.,1
HIND4766888,I drink a milk.,1
HIND4766888,,1
HIND4810214,The water are very hot.,2
HIND4810214,The water is very hot.,2
HIND4810214,The water has very hot.,2
HIND4810214,The water have very hot.,2
HIND4113604,There is one kitchen at this house.,2
HIND4113604,There is one kitchen in this house.,2
HIND4113604,There is one kitchen on this house.,2
HIND4113604,,2
HIND3215026,They don't speak English.,1
HIND3215026,They doesn't speak English.,1
HIND3215026,They are not speak English.,1
HIND3215026,,1
HIND3806388,My bag is very big.,1
HIND3806388,My bag is a very big.,1
HIND3806388,My bag is big very.,1
HIND3806388,,1
HIND4650140,My mother buys milk at a florist.,3
HIND4650140,My mother buys milk at a butcher's shop.,3
HIND4650140,My mother buys milk at a dairy.,3
HIND4650140,My mother buys milk at a fish market.,3
HIND3738514,She is many pretty.,2
HIND3738514,She is very pretty.,2
HIND3738514,She is a lot pretty.,2
HIND3738514,She is too pretty.,2
HIND2930320,I is not a student.,2
HIND2930320,I am not a student.,2
HIND2930320,I are not a student.,2
HIND2930320,I don't a student.,2
HIND4259070,Where do she live?,2
HIND4259070,Where does she live?,2
HIND4259070,Where is she live?,2
HIND4259070,,2
HIND4769656,I want some waters.,2
