,Unnamed: 0,Slide ID,Options,Correct ID,pos_array,pos_delta
17,17,HIND6357505,Whose movie is releasing this Friday?,1,"[""('Whose', 'JJ')"", ""('movie', 'NN')"", ""('is', 'VBZ')"", ""('releasing', 'VBG')"", ""('this', 'DT')"", ""('Friday', 'NNP')"", ""('?', '.')""]","[""('Whose', 'JJ')""]"
18,18,HIND6357505,Which movie will releasing this Friday?,1,"[""('Which', 'JJ')"", ""('movie', 'NN')"", ""('will', 'MD')"", ""('releasing', 'VB')"", ""('this', 'DT')"", ""('Friday', 'NNP')"", ""('?', '.')""]","[""('will', 'MD')"", ""('releasing', 'VB')""]"
19,19,HIND6357505,Which movie is release this Friday?,1,"[""('Which', 'JJ')"", ""('movie', 'NN')"", ""('is', 'VBZ')"", ""('release', 'VBN')"", ""('this', 'DT')"", ""('Friday', 'NNP')"", ""('?', '.')""]","[""('release', 'VBN')""]"
20,20,HIND6370337,What happens?,2,"[""('What', 'WP')"", ""('happens', 'VBZ')"", ""('?', '.')""]","[""('happens', 'VBZ')""]"
21,21,HIND6370337,What happened?,2,"[""('What', 'WP')"", ""('happened', 'VBD')"", ""('?', '.')""]",[]
22,22,HIND6370337,How happened?,2,"[""('How', 'WRB')"", ""('happened', 'VBN')"", ""('?', '.')""]","[""('happened', 'VBN')"", ""('How', 'WRB')""]"
23,23,HIND6370337,When happened?,2,"[""('When', 'WRB')"", ""('happened', 'VBN')"", ""('?', '.')""]","[""('When', 'WRB')"", ""('happened', 'VBN')""]"
24,24,HIND6401856,You are really deserve this.,3,"[""('You', 'PRP')"", ""('are', 'VBP')"", ""('really', 'RB')"", ""('deserve', 'VB')"", ""('this', 'DT')"", ""('.', '.')""]","[""('deserve', 'VB')"", ""('are', 'VBP')""]"
25,25,HIND6401856,You are really deserved this.,3,"[""('You', 'PRP')"", ""('are', 'VBP')"", ""('really', 'RB')"", ""('deserved', 'VBN')"", ""('this', 'DT')"", ""('.', '.')""]","[""('are', 'VBP')"", ""('deserved', 'VBN')""]"
26,26,HIND6401856,You really deserved this.,3,"[""('You', 'PRP')"", ""('really', 'RB')"", ""('deserved', 'VBD')"", ""('this', 'DT')"", ""('.', '.')""]",[]
27,27,HIND6401856,You did really deserved this.,3,"[""('You', 'PRP')"", ""('did', 'VBD')"", ""('really', 'RB')"", ""('deserved', 'VBN')"", ""('this', 'DT')"", ""('.', '.')""]","[""('did', 'VBD')"", ""('deserved', 'VBN')""]"
28,28,HIND6404975,I am really exciting for you.,4,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('really', 'RB')"", ""('exciting', 'VBG')"", ""('for', 'IN')"", ""('you', 'PRP')"", ""('.', '.')""]","[""('exciting', 'VBG')""]"
29,29,HIND6404975,I am really excitement for you.,4,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('really', 'RB')"", ""('excitement', 'JJ')"", ""('for', 'IN')"", ""('you', 'PRP')"", ""('.', '.')""]","[""('excitement', 'JJ')""]"
30,30,HIND6404975,I am really excited to you.,4,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('really', 'RB')"", ""('excited', 'VBN')"", ""('to', 'TO')"", ""('you', 'PRP')"", ""('.', '.')""]","[""('to', 'TO')""]"
31,31,HIND6404975,I am really excited for you.,4,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('really', 'RB')"", ""('excited', 'VBN')"", ""('for', 'IN')"", ""('you', 'PRP')"", ""('.', '.')""]",[]
32,32,HIND6407655,This is great news. Congrats!,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('great', 'JJ')"", ""('news', 'NN')"", ""('.', '.')"", ""('Congrats', 'NNS')"", ""('!', '.')""]",[]
33,33,HIND6407655,This is great news. Congrates!,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('great', 'JJ')"", ""('news', 'NN')"", ""('.', '.')"", ""('Congrates', 'VBZ')"", ""('!', '.')""]","[""('Congrates', 'VBZ')""]"
34,34,HIND6407655,This are great news. Congrats!,1,"[""('This', 'DT')"", ""('are', 'VBP')"", ""('great', 'JJ')"", ""('news', 'NN')"", ""('.', '.')"", ""('Congrats', 'NNS')"", ""('!', '.')""]","[""('are', 'VBP')""]"
35,35,HIND6407655,This is great news. Congregations!,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('great', 'JJ')"", ""('news', 'NN')"", ""('.', '.')"", ""('Congregations', 'NNS')"", ""('!', '.')""]","[""('Congregations', 'NNS')""]"
36,36,HIND6420859,It doesn't rain outside.,2,"[""('It', 'PRP')"", ""('does', 'VBZ')"", '(""n\'t"", \'RB\')', ""('rain', 'VB')"", ""('outside', 'JJ')"", ""('.', '.')""]","[""('does', 'VBZ')"", '(""n\'t"", \'RB\')', ""('outside', 'JJ')"", ""('rain', 'VB')""]"
37,37,HIND6420859,It's not raining outside.,2,"[""('It', 'PRP')"", '(""\'s"", \'VBZ\')', ""('not', 'RB')"", ""('raining', 'JJ')"", ""('outside', 'NN')"", ""('.', '.')""]",[]
38,38,HIND6420859,It is not rain outside.,2,"[""('It', 'PRP')"", ""('is', 'VBZ')"", ""('not', 'RB')"", ""('rain', 'JJ')"", ""('outside', 'IN')"", ""('.', '.')""]","[""('is', 'VBZ')"", ""('rain', 'JJ')"", ""('outside', 'IN')""]"
39,39,HIND6420859,It will not rain outside.,2,"[""('It', 'PRP')"", ""('will', 'MD')"", ""('not', 'RB')"", ""('rain', 'VB')"", ""('outside', 'IN')"", ""('.', '.')""]","[""('will', 'MD')"", ""('rain', 'VB')"", ""('outside', 'IN')""]"
40,40,HIND6422075,We are not coming home from the market.,1,"[""('We', 'PRP')"", ""('are', 'VBP')"", ""('not', 'RB')"", ""('coming', 'VBG')"", ""('home', 'RB')"", ""('from', 'IN')"", ""('the', 'DT')"", ""('market', 'NN')"", ""('.', '.')""]",[]
41,41,HIND6422075,We were not coming home from the market.,1,"[""('We', 'PRP')"", ""('were', 'VBD')"", ""('not', 'RB')"", ""('coming', 'VBG')"", ""('home', 'RB')"", ""('from', 'IN')"", ""('the', 'DT')"", ""('market', 'NN')"", ""('.', '.')""]","[""('were', 'VBD')""]"
42,42,HIND6422075,We are not come home from the market.,1,"[""('We', 'PRP')"", ""('are', 'VBP')"", ""('not', 'RB')"", ""('come', 'VBN')"", ""('home', 'NN')"", ""('from', 'IN')"", ""('the', 'DT')"", ""('market', 'NN')"", ""('.', '.')""]","[""('come', 'VBN')"", ""('home', 'NN')""]"
43,43,HIND6422075,We do not coming home from the market.,1,"[""('We', 'PRP')"", ""('do', 'VBP')"", ""('not', 'RB')"", ""('coming', 'VBG')"", ""('home', 'RB')"", ""('from', 'IN')"", ""('the', 'DT')"", ""('market', 'NN')"", ""('.', '.')""]","[""('do', 'VBP')""]"
44,44,HIND6455450,They will going to stay in a hotel.,2,"[""('They', 'PRP')"", ""('will', 'MD')"", ""('going', 'VBG')"", ""('to', 'TO')"", ""('stay', 'VB')"", ""('in', 'IN')"", ""('a', 'DT')"", ""('hotel', 'NN')"", ""('.', '.')""]","[""('will', 'MD')""]"
45,45,HIND6455450,They are going to stay in a hotel.,2,"[""('They', 'PRP')"", ""('are', 'VBP')"", ""('going', 'VBG')"", ""('to', 'TO')"", ""('stay', 'VB')"", ""('in', 'IN')"", ""('a', 'DT')"", ""('hotel', 'NN')"", ""('.', '.')""]",[]
46,46,HIND6455450,They are go to stay in a hotel.,2,"[""('They', 'PRP')"", ""('are', 'VBP')"", ""('go', 'VB')"", ""('to', 'TO')"", ""('stay', 'VB')"", ""('in', 'IN')"", ""('a', 'DT')"", ""('hotel', 'NN')"", ""('.', '.')""]","[""('go', 'VB')""]"
47,47,HIND6455450,They go to stay in a hotel.,2,"[""('They', 'PRP')"", ""('go', 'VBP')"", ""('to', 'TO')"", ""('stay', 'VB')"", ""('in', 'IN')"", ""('a', 'DT')"", ""('hotel', 'NN')"", ""('.', '.')""]","[""('go', 'VBP')""]"
48,48,HIND6484722,This is in reference to my appraisal.,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('in', 'IN')"", ""('reference', 'NN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('appraisal', 'NN')"", ""('.', '.')""]",[]
49,49,HIND6484722,She is in reference to my appraisal.,1,"[""('She', 'PRP')"", ""('is', 'VBZ')"", ""('in', 'IN')"", ""('reference', 'NN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('appraisal', 'NN')"", ""('.', '.')""]","[""('She', 'PRP')""]"
50,50,HIND6484722,This is in reference to mine appraisal.,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('in', 'IN')"", ""('reference', 'NN')"", ""('to', 'TO')"", ""('mine', 'VB')"", ""('appraisal', 'NN')"", ""('.', '.')""]","[""('mine', 'VB')""]"
51,51,HIND6484722,This is refer to my appraisal.,1,"[""('This', 'DT')"", ""('is', 'VBZ')"", ""('refer', 'JJR')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('appraisal', 'NN')"", ""('.', '.')""]","[""('refer', 'JJR')""]"
52,52,HIND6542620,I usually having dinner at 8 o'clock.,3,"[""('I', 'PRP')"", ""('usually', 'RB')"", ""('having', 'VBG')"", ""('dinner', 'NN')"", ""('at', 'IN')"", ""('8', 'CD')"", '(""o\'clock"", \'NN\')', ""('.', '.')""]","[""('having', 'VBG')""]"
53,53,HIND6542620,I am usually have dinner at 8 o'clock.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('usually', 'RB')"", ""('have', 'VBP')"", ""('dinner', 'NN')"", ""('at', 'IN')"", ""('8', 'CD')"", '(""o\'clock"", \'NN\')', ""('.', '.')""]","[""('am', 'VBP')""]"
54,54,HIND6542620,I usually have dinner at 8 o'clock.,3,"[""('I', 'PRP')"", ""('usually', 'RB')"", ""('have', 'VBP')"", ""('dinner', 'NN')"", ""('at', 'IN')"", ""('8', 'CD')"", '(""o\'clock"", \'NN\')', ""('.', '.')""]",[]
55,55,HIND6542620,I usually go dinner at 8 o'clock.,3,"[""('I', 'PRP')"", ""('usually', 'RB')"", ""('go', 'VBP')"", ""('dinner', 'NN')"", ""('at', 'IN')"", ""('8', 'CD')"", '(""o\'clock"", \'NN\')', ""('.', '.')""]","[""('go', 'VBP')""]"
56,56,HIND6684730,Did I get the vegetables?,4,"[""('Did', 'NNP')"", ""('I', 'PRP')"", ""('get', 'VBP')"", ""('the', 'DT')"", ""('vegetables', 'NNS')"", ""('?', '.')""]","[""('Did', 'NNP')""]"
57,57,HIND6684730,Will I get the vegetables?,4,"[""('Will', 'MD')"", ""('I', 'PRP')"", ""('get', 'VB')"", ""('the', 'DT')"", ""('vegetables', 'NNS')"", ""('?', '.')""]","[""('get', 'VB')"", ""('Will', 'MD')""]"
58,58,HIND6684730,Am I get the vegetables?,4,"[""('Am', 'NNP')"", ""('I', 'PRP')"", ""('get', 'VBP')"", ""('the', 'DT')"", ""('vegetables', 'NNS')"", ""('?', '.')""]","[""('Am', 'NNP')""]"
59,59,HIND6684730,Shall I get the vegetables?,4,"[""('Shall', 'NN')"", ""('I', 'PRP')"", ""('get', 'VBP')"", ""('the', 'DT')"", ""('vegetables', 'NNS')"", ""('?', '.')""]",[]
60,60,HIND6753842,"If you heat water to 100 degrees Celsius, it boils.",1,"[""('If', 'IN')"", ""('you', 'PRP')"", ""('heat', 'VBP')"", ""('water', 'NN')"", ""('to', 'TO')"", ""('100', 'CD')"", ""('degrees', 'NNS')"", ""('Celsius', 'NNP')"", ""(',', ',')"", ""('it', 'PRP')"", ""('boils', 'VBZ')"", ""('.', '.')""]",[]
61,61,HIND6753842,"If you heats water to 100 degrees Celsius, it boils.",1,"[""('If', 'IN')"", ""('you', 'PRP')"", ""('heats', 'VBP')"", ""('water', 'NN')"", ""('to', 'TO')"", ""('100', 'CD')"", ""('degrees', 'NNS')"", ""('Celsius', 'NNP')"", ""(',', ',')"", ""('it', 'PRP')"", ""('boils', 'VBZ')"", ""('.', '.')""]","[""('heats', 'VBP')""]"
62,62,HIND6753842,"If you heat water to 100 degrees Celsius, it boil.",1,"[""('If', 'IN')"", ""('you', 'PRP')"", ""('heat', 'VBP')"", ""('water', 'NN')"", ""('to', 'TO')"", ""('100', 'CD')"", ""('degrees', 'NNS')"", ""('Celsius', 'NNP')"", ""(',', ',')"", ""('it', 'PRP')"", ""('boil', 'NN')"", ""('.', '.')""]","[""('boil', 'NN')""]"
63,63,HIND6753842,"If you heat water to 100 degrees Celsius, it's boils.",1,"[""('If', 'IN')"", ""('you', 'PRP')"", ""('heat', 'VBP')"", ""('water', 'NN')"", ""('to', 'TO')"", ""('100', 'CD')"", ""('degrees', 'NNS')"", ""('Celsius', 'NNP')"", ""(',', ',')"", ""('it', 'PRP')"", '(""\'s"", \'VBZ\')', ""('boils', 'NNS')"", ""('.', '.')""]","[""('boils', 'NNS')"", '(""\'s"", \'VBZ\')']"
64,64,HIND7128868,My made does the dishes.,3,"[""('My', 'PRP$')"", ""('made', 'NN')"", ""('does', 'VBZ')"", ""('the', 'DT')"", ""('dishes', 'NNS')"", ""('.', '.')""]","[""('made', 'NN')""]"
65,65,HIND7128868,My maid do the dishes.,3,"[""('My', 'PRP$')"", ""('maid', 'NN')"", ""('do', 'VBP')"", ""('the', 'DT')"", ""('dishes', 'NNS')"", ""('.', '.')""]","[""('do', 'VBP')""]"
66,66,HIND7128868,My maid does the dishes.,3,"[""('My', 'PRP$')"", ""('maid', 'NN')"", ""('does', 'VBZ')"", ""('the', 'DT')"", ""('dishes', 'NNS')"", ""('.', '.')""]",[]
67,67,HIND7128868,My maid does washes the dishes.,3,"[""('My', 'PRP$')"", ""('maid', 'NN')"", ""('does', 'VBZ')"", ""('washes', 'VBZ')"", ""('the', 'DT')"", ""('dishes', 'NNS')"", ""('.', '.')""]","[""('washes', 'VBZ')""]"
68,68,HIND7132414,I like to hanging out with my friends on weekends.,2,"[""('I', 'PRP')"", ""('like', 'VBP')"", ""('to', 'TO')"", ""('hanging', 'VBG')"", ""('out', 'RP')"", ""('with', 'IN')"", ""('my', 'PRP$')"", ""('friends', 'NNS')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]","[""('to', 'TO')""]"
69,69,HIND7132414,I like hanging out with my friends on weekends.,2,"[""('I', 'PRP')"", ""('like', 'VBP')"", ""('hanging', 'VBG')"", ""('out', 'RP')"", ""('with', 'IN')"", ""('my', 'PRP$')"", ""('friends', 'NNS')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]",[]
70,70,HIND7132414,I like hanging out with my friends in weekends.,2,"[""('I', 'PRP')"", ""('like', 'VBP')"", ""('hanging', 'VBG')"", ""('out', 'RP')"", ""('with', 'IN')"", ""('my', 'PRP$')"", ""('friends', 'NNS')"", ""('in', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]","[""('in', 'IN')""]"
71,71,HIND7132414,I like hang out with my friends on weekends.,2,"[""('I', 'PRP')"", ""('like', 'VBP')"", ""('hang', 'VBG')"", ""('out', 'RP')"", ""('with', 'IN')"", ""('my', 'PRP$')"", ""('friends', 'NNS')"", ""('on', 'IN')"", ""('weekends', 'NNS')"", ""('.', '.')""]","[""('hang', 'VBG')""]"
72,72,HIND2804673,My name is John.,1,"[""('My', 'PRP$')"", ""('name', 'NN')"", ""('is', 'VBZ')"", ""('John', 'NNP')"", ""('.', '.')""]",[]
73,73,HIND2804673,Mine name is John.,1,"[""('Mine', 'NNP')"", ""('name', 'NN')"", ""('is', 'VBZ')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('Mine', 'NNP')""]"
74,74,HIND2804673,Myself John.,1,"[""('Myself', 'NNP')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('Myself', 'NNP')""]"
75,75,HIND2804673,My name are John.,1,"[""('My', 'PRP$')"", ""('name', 'NN')"", ""('are', 'VBP')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('are', 'VBP')""]"
76,76,HIND2816217,I am a John.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('a', 'DT')""]"
77,77,HIND2816217,Myself John.,3,"[""('Myself', 'NNP')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('Myself', 'NNP')""]"
78,78,HIND2816217,I am John.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('John', 'NNP')"", ""('.', '.')""]",[]
79,79,HIND2816217,I am the John.,3,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('the', 'DT')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('the', 'DT')""]"
80,80,HIND2820012,What is your good name?,3,"[""('What', 'WP')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", ""('good', 'JJ')"", ""('name', 'NN')"", ""('?', '.')""]","[""('good', 'JJ')""]"
81,81,HIND2820012,What is your's name?,3,"[""('What', 'WP')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", '(""\'s"", \'POS\')', ""('name', 'NN')"", ""('?', '.')""]","['(""\'s"", \'POS\')']"
82,82,HIND2820012,What is your name?,3,"[""('What', 'WP')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", ""('name', 'NN')"", ""('?', '.')""]",[]
83,83,HIND2820012,What is you're name?,3,"[""('What', 'WP')"", ""('is', 'VBZ')"", ""('you', 'PRP')"", '(""\'re"", \'VBP\')', ""('name', 'NN')"", ""('?', '.')""]","[""('you', 'PRP')"", '(""\'re"", \'VBP\')']"
84,84,HIND2828703,Your name is John,1,"[""('Your', 'PRP$')"", ""('name', 'NN')"", ""('is', 'VBZ')"", ""('John', 'NNP')""]",[]
85,85,HIND2828703,Your name is the John,1,"[""('Your', 'PRP$')"", ""('name', 'NN')"", ""('is', 'VBZ')"", ""('the', 'DT')"", ""('John', 'NNP')""]","[""('the', 'DT')""]"
86,86,HIND2828703,Yours name is John,1,"[""('Yours', 'NNS')"", ""('name', 'NN')"", ""('is', 'VBZ')"", ""('John', 'NNP')""]","[""('Yours', 'NNS')""]"
87,87,HIND2828703,Her name is John,1,"[""('Her', 'PRP$')"", ""('name', 'NN')"", ""('is', 'VBZ')"", ""('John', 'NNP')""]","[""('Her', 'PRP$')""]"
88,88,HIND2831210,I am a student.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('student', 'NN')"", ""('.', '.')""]",[]
89,89,HIND2831210,I am student.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('student', 'NN')"", ""('.', '.')""]",[]
90,90,HIND2831210,I am the student.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('the', 'DT')"", ""('student', 'NN')"", ""('.', '.')""]","[""('the', 'DT')""]"
91,91,HIND2831210,I a student.,1,"[""('I', 'PRP')"", ""('a', 'DT')"", ""('student', 'NN')"", ""('.', '.')""]",[]
92,92,HIND2833043,I am a teacher.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('a', 'DT')"", ""('teacher', 'NN')"", ""('.', '.')""]",[]
93,93,HIND2833043,I am teacher.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('teacher', 'RB')"", ""('.', '.')""]","[""('teacher', 'RB')""]"
94,94,HIND2833043,I is a teacher.,1,"[""('I', 'PRP')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('teacher', 'NN')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
95,95,HIND2833043,I are a teacher.,1,"[""('I', 'PRP')"", ""('are', 'VBP')"", ""('a', 'DT')"", ""('teacher', 'NN')"", ""('.', '.')""]","[""('are', 'VBP')""]"
96,96,HIND2836472,How are you?,4,"[""('How', 'WRB')"", ""('are', 'VBP')"", ""('you', 'PRP')"", ""('?', '.')""]","[""('you', 'PRP')"", ""('How', 'WRB')"", ""('are', 'VBP')"", ""('?', '.')""]"
97,97,HIND2836472,Good morning.,4,"[""('Good', 'JJ')"", ""('morning', 'NN')"", ""('.', '.')""]","[""('morning', 'NN')"", ""('Good', 'JJ')""]"
98,98,HIND2836472,Good night.,4,"[""('Good', 'JJ')"", ""('night', 'NN')"", ""('.', '.')""]","[""('night', 'NN')"", ""('Good', 'JJ')""]"
99,99,HIND2836472,Hello.,4,"[""('Hello', 'NNP')"", ""('.', '.')""]",[]
100,100,HIND2839239,Hello! You are John.,3,"[""('Hello', 'NN')"", ""('!', '.')"", ""('You', 'PRP')"", ""('are', 'VBP')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('You', 'PRP')"", ""('are', 'VBP')""]"
101,101,HIND2839239,Hello! I is John.,3,"[""('Hello', 'NN')"", ""('!', '.')"", ""('I', 'PRP')"", ""('is', 'VBZ')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
102,102,HIND2839239,Hello! I am John.,3,"[""('Hello', 'NN')"", ""('!', '.')"", ""('I', 'PRP')"", ""('am', 'VBP')"", ""('John', 'NNP')"", ""('.', '.')""]",[]
103,103,HIND2839239,Hello! Myself John.,3,"[""('Hello', 'NN')"", ""('!', '.')"", ""('Myself', 'NNP')"", ""('John', 'NNP')"", ""('.', '.')""]","[""('Myself', 'NNP')""]"
104,104,HIND2854353,Sick,2,"[""('Sick', 'JJ')""]","[""('Sick', 'JJ')""]"
105,105,HIND2854353,Fine,2,"[""('Fine', 'NN')""]",[]
106,106,HIND2854353,Faine,2,"[""('Faine', 'NN')""]","[""('Faine', 'NN')""]"
107,107,HIND2854353,Not.,2,"[""('Not', 'RB')"", ""('.', '.')""]","[""('.', '.')"", ""('Not', 'RB')""]"
108,108,HIND2863406,I am from a India.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('a', 'DT')"", ""('India', 'NNP')"", ""('.', '.')""]","[""('a', 'DT')""]"
109,109,HIND2863406,I am from India.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('India', 'NNP')"", ""('.', '.')""]",[]
110,110,HIND2863406,I am from the India.,2,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('from', 'IN')"", ""('the', 'DT')"", ""('India', 'NNP')"", ""('.', '.')""]","[""('the', 'DT')""]"
111,111,HIND2863406,Myself from India.,2,"[""('Myself', 'PRP')"", ""('from', 'IN')"", ""('India', 'NNP')"", ""('.', '.')""]","[""('Myself', 'PRP')""]"
112,112,HIND2864645,You are America from.,3,"[""('You', 'PRP')"", ""('are', 'VBP')"", ""('America', 'NNP')"", ""('from', 'IN')"", ""('.', '.')""]",[]
113,113,HIND2864645,Your from America.,3,"[""('Your', 'PRP$')"", ""('from', 'IN')"", ""('America', 'NNP')"", ""('.', '.')""]","[""('Your', 'PRP$')""]"
114,114,HIND2864645,You are from America.,3,"[""('You', 'PRP')"", ""('are', 'VBP')"", ""('from', 'IN')"", ""('America', 'NNP')"", ""('.', '.')""]",[]
115,115,HIND2864645,You is from America.,3,"[""('You', 'PRP')"", ""('is', 'VBZ')"", ""('from', 'IN')"", ""('America', 'NNP')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
